ID,y,z
177,-454603,-77429
178,-784403,537826
179,945086,-868159
180,-177370,-282082
181,-402391,966497
182,799047,-344604
183,583193,229385
184,-96832,-139991
185,962551,238712
186,931615,-516694
187,694869,-917040
188,-204631,-171678
189,627410,-943796
190,687556,503287
191,-453796,808554
192,-384848,-291055
193,917068,224118
194,374729,-993575
195,-706622,-569687
196,-645854,-15050
197,-639138,-169498
198,778517,-950077
199,-854520,-783580
200,651393,16309
201,891584,-690756
202,203792,-782111
203,755185,-278
204,-870059,-511092
205,-460833,150521
206,-210088,700476
207,896888,215782
208,-57580,-639762
209,89439,857504
210,452401,-55446
211,65320,605970
212,-656037,966879
213,-432544,648237
214,-317718,344858
215,-197658,759807
216,-345103,765236
217,-815137,-878673
218,-208655,848967
219,641348,867061
220,790856,-377052
221,-155205,-149255
222,886565,636308
223,748950,-979953
224,-385726,441033
225,883816,-940818
226,-306035,-88806
227,-509521,-934911
228,-347893,-166227
229,970788,724768
230,-530,783495
231,795587,-641754
232,358921,-906010
233,680457,-85523
234,82664,-300046
235,-243627,147626
236,-313209,-694629
237,600730,814596
238,-760581,864505
239,-435410,368949
240,528814,451483
241,-585567,-824260
242,-734323,286920
243,416550,554011
244,-202397,-43827
245,596557,359816
246,80393,-784545
247,-334203,849015
248,326981,264376
249,691644,104830
250,-511110,-325693
251,903612,768462
252,-278531,-91150
253,773572,-24122
254,-848336,-108700
255,977706,-103093
256,463642,-309026
257,-347959,931519
258,954974,558446
259,820361,-419630
260,-893680,799235
261,-833001,-190779
262,-43691,-690250
263,-121670,-766859
264,-836468,106895
265,-419080,563111
266,105033,-366955
267,-662278,-977421
268,-960897,468532
269,291368,-558858
270,969116,287298
271,-186481,-59741
272,-237832,-619187
273,-520277,-89419
274,160439,-159315
275,646066,-688757
276,730124,236702
277,-810757,-808351
278,569828,539737
279,204809,-787542
280,473562,-366250
281,-365192,152035
282,32085,-489863
283,172034,274324
284,955164,226318
285,-533296,-130473
286,-41167,936276
287,-289308,725659
288,-267948,52400
289,-797818,-454087
290,-295639,122614
291,-646960,341928
292,25653,64026
293,865637,-446212
294,-200320,656018
295,-904831,-228781
296,62948,878199
297,257353,808094
298,11866,90568
299,948110,-932092
300,538550,877504
301,-217899,49859
302,-973309,-885837
303,-114281,78063
304,-264734,314596
305,-555219,-309607
306,289811,191845
307,-685316,-706424
308,673305,778516
309,-341628,181489
310,110435,-47126
311,490679,-315988
312,-557505,-919796
313,-825742,478063
314,-501147,-586379
315,776268,825694
316,434335,-680840
317,509109,26774
318,448425,695415
319,-177898,534633
320,264449,732098
321,-69180,-557851
322,757984,-731847
323,-72224,-54908
324,451993,-386604
325,-751220,-540405
326,28524,909675
327,563043,-406739
328,882311,325437
329,-135178,90738
330,392448,329863
331,-399872,-533570
332,-101373,291421
333,-651303,-955644
334,-668647,278314
335,-344242,556434
336,-366756,-127839
337,-580776,-45490
338,948928,618118
339,-777521,839557
340,-230637,712843
341,-905786,65071
342,-463825,584241
343,-87372,804660
344,176583,-86651
345,-864201,-196487
346,683177,737914
347,-930177,886055
348,576330,535038
349,666405,679909
350,-475794,-49051
351,-843740,-666401
352,-961578,-804531
353,687434,-996444
354,351322,-444634
355,-854834,428411
356,-128802,-60372
357,-230656,-994527
358,55406,911309
359,-213162,758101
360,-72469,827024
361,-143196,-271196
362,88174,-490294
363,381388,-457866
364,433235,-720026
365,-905529,855925
366,904082,605882
367,876116,801671
368,342632,433595
369,-580378,523057
370,328811,733631
371,-183918,728583
372,174359,-657632
373,864152,-120185
374,-758354,-59683
375,41138,-869826
376,-142270,-588785
377,-799623,994851
378,134192,-659778
379,-788205,924850
380,-671574,-653882
381,103125,-539844
382,14935,891330
383,-714939,610117
384,-556850,985635
385,-124696,-662048
386,641321,-759949
387,921128,247509
388,486564,323983
389,-875980,945648
390,698029,-808374
391,-598891,853871
392,-852974,947826
393,-471006,-724640
394,860068,-449466
395,-114043,281932
396,667346,-390129
397,-267203,-166889
398,-322143,-325310
399,100500,-187468
400,-284010,-299524
401,-725442,-347192
402,-384788,485758
403,-136248,-19201
404,645681,38460
405,264290,891611
406,318308,-113227
407,-582382,-742987
408,615979,407190
409,890367,-434147
410,341183,153314
411,-117966,-837589
412,-813664,494264
413,-753280,-646586
414,-831623,552612
415,468741,476265
416,-260948,-906076
417,-57139,869216
418,-669570,163671
419,-346175,-313488
420,263169,92800
421,-887722,-489025
422,-955479,493702
423,965148,-83087
424,699390,-643733
425,429269,-737417
426,-546049,-933314
427,-332455,-255929
428,260668,-483394
429,92176,-29517
430,810361,942064
431,-49941,-888822
432,478352,-704457
433,147350,-5486
434,50535,574503
435,-806521,-594879
436,783264,399328
437,175895,-863790
438,68359,566687
439,754219,-724528
440,-708381,281530
441,935206,-598344
442,-717306,591237
443,589887,-715470
444,-680997,928799
445,-949207,817864
446,-193957,-812345
447,587900,692085
448,-72508,344197
449,-75378,-733931
450,198965,882861
451,401876,-203035
452,448745,681306
453,-819682,648761
454,-817435,-826327
455,-571807,736241
456,621344,-870240
457,532866,802410
458,666953,-103686
459,-963259,-587915
460,356860,-866694
461,-409055,476725
462,786754,-364379
463,366470,598897
464,632224,750198
465,-887938,690190
466,-541969,-249047
467,-750584,881949
468,-454103,103138
469,-841554,-111358
470,607776,167276
471,-657400,-938907
472,-973835,-298171
473,105545,-627911
474,-595053,761258
475,448457,13857
476,6691,-273474
477,-955717,835962
478,-808562,755670
479,-304045,-732547
480,-332679,-287325
481,903625,621357
482,638501,-99213
483,-212081,981381
484,-930171,245966
485,-644027,198650
486,708860,922436
487,160830,835262
488,289264,103442
489,592013,123679
490,-633833,-614871
491,789901,-359955
492,723490,284131
493,-530287,-531542
494,-884406,-261990
495,-954851,-693018
496,296113,772923
497,-549502,-533520
498,960435,660606
499,799522,281976
500,671261,-945169
501,-777447,337175
502,-211709,524907
503,894159,-619644
504,-433453,626491
505,733455,582722
506,-792082,159854
507,-402383,430309
508,53006,-84313
509,510161,180443
510,924217,-371357
511,-346832,-416874
512,204721,-129899
513,-866435,240786
514,239567,-123708
515,477734,939645
516,-523493,277897
517,911357,-942711
518,56362,-989685
519,903316,412845
520,-981940,887280
521,-564855,516541
522,-816385,155924
523,-748074,118574
524,-83937,667746
525,628766,-424274
526,-365336,-124847
527,-143887,-321441
528,672304,179241
529,-544074,661822
530,-533876,208630
531,-407996,363109
532,693255,-722116
533,-991925,-377997
534,-328999,854740
535,819310,401436
536,-349922,949156
537,660547,-597070
538,-324899,572332
539,-218285,-694958
540,111950,-114150
541,-633034,-925212
542,407075,303253
543,-620899,-383800
544,-638276,167956
545,-114323,456484
546,-502173,-17869
547,15165,-96196
548,194992,-781784
549,-889906,414848
550,470081,-958125
551,430486,-496570
552,-30848,308038
553,-536252,875581
554,-276781,519063
555,591127,-891849
556,552850,392331
557,824433,440074
558,771332,-36631
559,97686,-737721
560,-426350,496427
561,-579354,809274
562,564622,172501
563,-448388,-15994
564,-956257,-253087
565,565510,-51782
566,282793,-302004
567,711775,561376
568,-521750,-985526
569,538942,717919
570,-948906,-7826
571,104427,172324
572,424115,512288
573,308875,956167
574,999737,979026
575,-858949,769923
576,750142,388301
577,24800,547535
578,-749646,708945
579,433828,485096
580,139125,-790225
581,387363,162199
582,-75712,-400345
583,142744,-7856
584,-900903,379973
585,-385008,-231277
586,-429897,316356
587,-14176,789880
588,397762,-154145
589,925153,-770463
590,-444908,-982063
591,-20333,9473
592,692720,-82283
593,473479,529287
594,804558,431523
595,181994,422351
596,494051,-54739
597,-946640,54628
598,701866,-471070
599,24113,-38126
600,-374480,529824
601,135859,-470106
602,-526627,150035
603,-467557,-694535
604,933057,-420514
605,-192613,96260
606,287646,-594822
607,568469,29539
608,284195,-149957
609,-890395,-268710
610,476265,-46504
611,-385669,-48182
612,355369,977324
613,-570473,441721
614,969760,-658960
615,-994780,-684943
616,591767,29601
617,-493694,-231909
618,965682,-481811
619,-400384,-763303
620,-798176,-935541
621,-993517,-489745
622,12516,-96056
623,-462816,-39259
624,592693,-865950
625,17437,547746
626,-295256,-958583
627,855533,369598
628,598974,153084
629,-167310,-507931
630,-268499,-805620
631,-395102,-478318
632,-105436,-947335
633,-740759,-878969
634,-43171,224632
635,63476,-783703
636,-100773,955116
637,685964,751263
638,-484567,-361768
639,-236967,-26099
640,400187,478104
641,-798224,-649809
642,-894326,-718145
643,-142785,429054
644,-70207,-687097
645,593131,168569
646,-136829,38923
647,531533,-193801
648,-481920,-721157
649,118011,-994371
650,-668976,-631200
651,740598,-621973
652,-564061,378854
653,910142,650542
654,712006,71661
655,680989,-370586
656,-433567,78737
657,-970320,55660
658,-381958,513713
659,-634770,991521
660,-129262,970888
661,-36722,-706155
662,-246368,-567471
663,-278857,261784
664,390775,922104
665,-995184,-776129
666,680789,-667089
667,-795219,762055
668,-145773,-122804
669,613155,-797005
670,-398752,-627020
671,-316506,-867012
672,-352635,-223878
673,823551,-124882
674,-201703,597209
675,-119026,-721078
676,369273,-519841
677,244920,-904407
678,508587,-496218
679,172339,-633758
680,22398,-867074
681,877772,-47825
682,44968,-348225
683,-842570,-848480
684,-481594,-140854
685,-235964,-311643
686,-259988,-627763
687,-868768,901719
688,-438466,-208585
689,-812083,236784
690,-325431,-687503
691,182164,463627
692,-330798,-494207
693,-217115,674105
694,259301,548773
695,156330,-649339
696,-996899,-163372
697,572710,227636
698,-294419,-594691
699,-805916,925838
700,-470644,-130812
701,-349116,228347
702,506515,-558300
703,-995163,924078
704,136039,746210
705,663001,977202
706,428553,-560976
707,-320510,-424828
708,87494,293591
709,966352,-247970
710,162416,-549735
711,-630606,-551644
712,-80006,963433
713,245208,953517
714,-840391,91426
715,577260,812231
716,958334,609443
717,607909,-919701
718,-503017,274216
719,-793069,-867140
720,511805,826025
721,546707,485187
722,256938,107766
723,-836300,-755255
724,668256,-657303
725,-966567,-916888
726,-770573,-220388
727,107665,-952540
728,-513234,-812843
729,331899,-310871
730,-19878,519509
731,210989,436831
732,-796654,758692
733,718331,-816413
734,888351,805082
735,-642231,449204
736,-258474,98475
737,-769173,-472158
738,-311072,703406
739,43368,-630766
740,-426655,-263668
741,925401,328804
742,445659,-222654
743,273005,854460
744,847056,539939
745,-56185,-46680
746,722337,722359
747,539769,165163
748,420891,-987555
749,-582512,709147
750,-623734,607305
751,756568,266253
752,775797,-20911
753,495858,396365
754,601981,-594296
755,-95472,708235
756,260906,40873
757,-127379,-880714
758,489126,-584226
759,-283066,-846930
760,-730058,17318
761,-670649,-145160
762,490776,-855667
763,-527041,730927
764,-386883,-71694
765,-174283,-243612
766,-706891,361493
767,152233,-785501
768,318564,-293866
769,402060,741496
770,-814144,-769460
771,-84156,980450
772,849643,-743445
773,9879,-706023
774,-761334,-532077
775,894245,301536
776,691747,-272997
777,-175889,-696214
778,-877744,728455
779,-41415,-406206
780,194610,-326988
781,658147,382760
782,862467,-15269
783,920106,49526
784,-296579,923420
785,-663160,-141032
786,491113,976052
787,-596489,944321
788,-987683,-537286
789,605570,105510
790,67931,-256174
791,-342150,875835
792,-287897,112287
793,-351029,498119
794,-636589,988556
795,165828,-578729
796,31986,676277
797,981610,868037
798,944946,102322
799,-8580,-276033
800,170136,830018
801,17277,304819
802,238397,-515478
803,-585841,761002
804,-164237,-758078
805,660241,-385118
806,298216,-450734
807,304167,-332944
808,-691334,678515
809,187487,821099
810,550392,-252600
811,70112,-67689
812,182533,817450
813,760604,476702
814,87774,-586553
815,353895,-437006
816,-468853,-275791
817,-257190,564703
818,-814701,-378155
819,-311185,816653
820,353976,933965
821,-726000,446374
822,266333,-812828
823,350938,-39336
824,181677,458203
825,-295445,953309
826,226685,-37177
827,558639,-886164
828,-504824,-661594
829,-380286,264972
830,931623,962916
831,802440,-899255
832,-875734,324626
833,330992,-843634
834,-62648,-445398
835,721516,613066
836,165410,-927655
837,-948726,692285
838,807779,-139317
839,137169,-133872
840,2156,391474
841,-377498,-572295
842,-505716,-612780
843,-786882,404463
844,646282,95713
845,571524,961777
846,29666,-524772
847,-340771,-62699
848,464735,446005
849,614369,-280325
850,477725,-658978
851,375917,469560
852,-558472,162730
853,704282,-116589
854,-784018,-415563
855,-860872,458273
856,247498,909743
857,-314310,924363
858,-901088,-94747
859,-394022,851556
860,-733119,-707745
861,558662,-849960
862,-95118,319367
863,849109,157106
864,-668211,-620140
865,-412316,617072
866,-474248,835117
867,257703,798197
868,78932,-599616
869,-781167,81106
870,-289966,223476
871,-38098,898840
872,-9652,395828
873,-239283,-344579
874,-646856,185310
875,447980,322552
876,-767467,616369
877,-828968,-382291
878,383834,124138
879,-446170,998852
880,590083,419919
881,3913,-448998
882,-80566,-457111
883,438552,965135
884,897705,-603219
885,-209748,290586
886,634453,740080
887,-603873,-170982
888,10962,-703240
889,-519800,-552980
890,393347,382745
891,-487373,-368942
892,-210066,93858
893,-333236,986724
894,-499001,683321
895,-277569,747960
896,-515392,-920243
897,-297128,258825
898,369439,47638
899,-602402,-789369
900,-222631,-947070
901,725089,-318172
902,458599,-640692
903,996936,-701313
904,-546680,736370
905,12307,948009
906,-579808,54858
907,-362811,-661137
908,133501,567372
909,-638520,288452
910,-816902,736992
911,623858,740671
912,-483774,-778026
913,-897259,-816104
914,-787587,134061
915,210557,-402432
916,-708491,-22769
917,537476,224760
918,386032,-981314
919,-937990,-696531
920,-899132,780153
921,300107,659762
922,276869,197040
923,-383455,-977409
924,-123030,-527111
925,-849531,-345180
926,233226,956353
927,-200602,-664805
928,161319,-789339
929,-876860,-389235
930,-843206,-283230
931,-292625,351078
932,-897610,-65162
933,-862496,-10978
934,-15498,452456
935,215935,356077
936,520505,-573342
937,580601,-616338
938,-394998,619738
939,-499255,709810
940,11033,239031
941,-200428,-651721
942,944687,835501
943,-955104,-600343
944,-114492,590463
945,93444,-261566
946,99152,-881159
947,788003,537919
948,-459959,428095
949,614062,-947456
950,168865,328938
951,-83570,-746245
952,-592207,517023
953,-120246,-438487
954,-41055,-460981
955,852716,-839797
956,301871,628821
957,267537,-619155
958,384301,-88328
959,381155,100503
960,868816,613484
961,781564,328406
962,383981,670126
963,470572,-724296
964,172512,-648817
965,-416687,77548
966,-449471,-646012
967,-146048,-873808
968,578198,704261
969,-114803,166162
970,164152,973516
971,-301936,-881931
972,-256376,-596780
973,621295,274528
974,-358150,-528347
975,-249086,-552402
976,982124,-923526
977,923741,-499955
978,601925,43976
979,-39975,904780
980,-406597,-450834
981,40689,879024
982,-961345,-815858
983,-806073,-362755
984,-937071,-710201
985,-440830,563102
986,-50775,35553
987,-339183,-377465
988,-640287,-860110
989,207802,-367182
990,-128917,713085
991,-880963,880689
992,108644,-972283
993,212771,317956
994,-156778,450895
995,-584602,59452
996,-629369,-754769
997,-925964,480779
998,959332,106091
999,385142,251113
1000,-458784,925032
