ID,x,det
240,101605,1
241,-963254,1
242,-923760,1
243,-295279,1
244,872636,1
245,876700,1
246,-950199,1
247,-63766,1
248,814891,1
249,925797,1
250,-273862,1
251,514429,1
252,-345503,1
253,-282172,1
254,297136,1
255,710857,1
256,797640,1
257,-269283,1
258,-255022,1
259,-447606,1
260,-947710,1
261,-32963,1
262,703192,1
263,-96568,1
264,644812,1
265,-90262,1
266,78700,1
267,290800,1
268,-777752,1
269,758716,1
270,-529959,1
271,30443,1
272,646487,1
273,285081,1
274,358039,1
275,-472318,1
276,707103,1
277,-110761,1
278,494443,1
279,-970532,1
280,540266,1
281,-257460,1
282,-575116,1
283,141249,1
284,-929791,1
285,-563013,1
286,732024,1
287,-243241,1
288,833428,1
289,36816,1
290,395614,1
291,-563252,1
292,-629751,1
293,-715546,1
294,-566694,1
295,353426,1
296,991087,1
297,568666,1
298,-566656,1
299,-885401,1
300,861272,1
301,778634,1
302,-411691,1
303,-132445,1
304,795448,1
305,-7199,1
306,-598801,1
307,143517,1
308,620466,1
309,-961370,1
310,455770,1
311,-979117,1
312,-636245,1
313,199144,1
314,-888488,1
315,485124,1
316,875306,1
317,-355708,1
318,383079,1
319,115915,1
320,638694,1
321,288071,1
322,424870,1
323,-142055,1
324,610949,1
325,832205,1
326,-796806,1
327,-859760,1
328,536138,1
329,-236930,1
330,-715246,1
331,315353,1
332,574728,1
333,799955,1
334,823426,1
335,-784381,1
336,29613,1
337,-387064,1
338,-661498,1
339,-313607,1
340,-267825,1
341,-59022,1
342,354270,1
343,-817618,1
344,344133,1
345,62129,1
346,705455,1
347,-526602,1
348,588967,1
349,559852,1
350,-342199,1
351,-309898,1
352,685048,1
353,207828,1
354,-105187,1
355,-145305,1
356,830474,1
357,181435,1
358,873655,1
359,-255723,1
360,350214,1
361,-891893,1
362,67976,1
363,-99350,1
364,369740,1
365,467816,1
366,169663,1
367,987333,1
368,260957,1
369,-876618,1
370,619294,1
371,155128,1
372,140043,1
373,995611,1
374,-28670,1
375,-344204,1
376,-133231,1
377,-133961,1
378,43844,1
379,-288755,1
380,585476,1
381,-944354,1
382,-410484,1
383,804604,1
384,980319,1
385,-825014,1
386,-649550,1
387,-636337,1
388,614066,1
389,818916,1
390,-607522,1
391,809907,1
392,-443049,1
393,80082,1
394,3378,1
395,266410,1
396,-525163,1
397,341994,1
398,789363,1
399,177788,1
400,-343580,1
401,-795455,1
402,315058,1
403,-687833,1
404,662774,1
405,651806,1
406,-942885,1
407,322960,1
408,-826008,1
409,-139352,1
410,-527875,1
411,383197,1
412,645384,1
413,137549,1
414,227048,1
415,-346626,1
416,-870445,1
417,331712,1
418,-167360,1
419,418880,1
420,518068,1
421,700193,1
422,965847,1
423,492793,1
424,-996700,1
425,-644232,1
426,214003,1
427,-747364,1
428,-955067,1
429,826417,1
430,447857,1
431,-538003,1
432,-321156,1
433,-41843,1
434,-703114,1
435,202527,1
436,668663,1
437,-681914,1
438,391035,1
439,441345,1
440,-939538,1
441,310080,1
442,341687,1
443,319274,1
444,870688,1
445,439931,1
446,628181,1
447,-438375,1
448,-758041,1
449,-711259,1
450,80189,1
451,371629,1
452,-296324,1
453,131651,1
454,-356328,1
455,158153,1
456,646161,1
457,-620088,1
458,681266,1
459,426433,1
460,-620475,1
461,-628387,1
462,46031,1
463,-496259,1
464,202189,1
465,879709,1
466,218242,1
467,937427,1
468,117254,1
469,-948902,1
470,-719516,1
471,512838,1
472,-111483,1
473,-101826,1
474,-429058,1
475,-133381,1
476,-441552,1
477,-45023,1
478,924996,1
479,774665,1
480,-906822,1
481,-711745,1
482,915155,1
483,702077,1
484,-387519,1
485,987521,1
486,-804967,1
487,-957574,1
488,375220,1
489,-246214,1
490,995420,1
491,343657,1
492,726890,1
493,442542,1
494,452169,1
495,-689546,1
496,769989,1
497,-522163,1
498,-427700,1
499,-160834,1
500,191828,1
501,-318051,1
502,102504,1
503,-721661,1
504,408490,1
505,986606,1
506,651182,1
507,-62293,1
508,-346325,1
509,-943559,1
510,838633,1
511,850766,1
512,-688753,1
513,129487,1
514,409639,1
515,-76076,1
516,448318,1
517,-657241,1
518,-270518,1
519,-341003,1
520,214614,1
521,26651,1
522,399524,1
523,-261301,1
524,-39572,1
525,-117829,1
526,250513,1
527,-164980,1
528,84479,1
529,-822306,1
530,-996203,1
531,939785,1
532,-439638,1
533,510528,1
534,-560525,1
535,-463675,1
536,494624,1
537,-997768,1
538,194437,1
539,-114268,1
540,18794,1
541,497775,1
542,726098,1
543,-539487,1
544,-523884,1
545,-741852,1
546,147664,1
547,-212649,1
548,-226812,1
549,-374001,1
550,-212406,1
551,-106084,0
552,270543,0
553,430709,0
554,499398,0
555,-571411,0
556,958625,0
557,806439,0
558,994517,0
559,-972745,0
560,-399384,0
561,559465,0
562,875447,0
563,202915,0
564,349651,0
565,133783,0
566,971417,0
567,490589,0
568,558846,0
569,-812619,0
570,800072,0
571,843580,0
572,727934,0
573,809376,0
574,368806,0
575,-511554,0
576,63418,0
577,-227118,0
578,-513496,0
579,396272,0
580,621441,0
581,-532833,0
582,-852473,0
583,558710,0
584,81489,0
585,-262354,0
586,-273763,0
587,416877,0
588,-890871,0
589,472471,0
590,161022,0
591,787907,0
592,93665,0
593,766760,0
594,-405861,0
595,-242104,0
596,-716086,0
597,-772869,0
598,694777,0
599,-61762,0
600,-176307,0
601,-497245,0
602,734516,0
603,923325,0
604,-711396,0
605,-811681,0
606,241865,0
607,-727743,0
608,-564422,0
609,93912,0
610,903523,0
611,-450656,0
612,91837,0
613,-360676,0
614,874512,0
615,-726702,0
616,367912,0
617,-393791,0
618,482491,0
619,643682,0
620,791893,0
621,793754,0
622,823333,0
623,937046,0
624,798340,0
625,968656,0
626,866207,0
627,-474057,0
628,-17540,0
629,865126,0
630,-322174,0
631,951779,0
632,192367,0
633,715041,0
634,792233,0
635,971563,0
636,366180,0
637,696713,0
638,640834,0
639,-543689,0
640,272275,0
641,934232,0
642,-716990,0
643,-875617,0
644,-98885,0
645,-267831,0
646,-366417,0
647,142367,0
648,693362,0
649,-193727,0
650,-374863,0
651,764717,0
652,310251,0
653,-561885,0
654,-540598,0
655,957611,0
656,-2136,0
657,-796417,0
658,306876,0
659,208900,0
660,997805,0
661,552242,0
662,135549,0
663,-615231,0
664,563065,0
665,-309817,0
666,338512,0
667,190852,0
668,642122,0
669,130336,0
670,2337,0
671,-188361,0
672,-559207,0
673,-680406,0
674,-503944,0
675,483256,0
676,-603348,0
677,842582,0
678,952306,0
679,242657,0
680,-540987,0
681,933276,0
682,-197220,0
683,-669759,0
684,-538465,0
685,226480,0
686,108542,0
687,888992,0
688,725218,0
689,629464,0
690,-215914,0
691,779116,0
692,-174371,0
693,940105,0
694,458281,0
695,-467867,0
696,815191,0
697,-515323,0
698,-130247,0
699,983105,0
700,336904,0
701,751644,0
702,656400,0
703,-108969,0
704,-690415,0
705,-455667,0
706,873824,0
707,812112,0
708,747730,0
709,136658,0
710,-902181,0
711,200509,0
712,-584523,0
713,604765,0
714,-98089,0
715,189833,0
716,940662,0
717,969826,0
718,446415,0
719,715253,0
720,-251357,0
721,-366221,0
722,-578326,0
723,432489,0
724,69484,0
725,389732,0
726,-713954,0
727,672944,0
728,-840871,0
729,901286,0
730,548953,0
731,794894,0
732,-270040,0
733,-223269,0
734,501787,0
735,-424019,0
736,-733474,0
737,60466,0
738,616057,0
739,263256,0
740,-482278,0
741,-415461,0
742,-125208,0
743,-631269,0
744,-102458,0
745,314468,0
746,920194,0
747,523873,0
748,449522,0
749,916102,0
750,-373656,0
751,930269,0
752,338196,0
753,-638029,0
754,-847133,0
755,596523,0
756,149020,0
757,-58206,0
758,-344929,0
759,460477,0
760,688576,0
761,-890631,0
762,622337,0
763,-740815,0
764,995506,0
765,55112,0
766,-958034,0
767,-208859,0
768,965371,0
769,-898548,0
770,833500,0
771,-480487,0
772,497346,0
773,-119782,0
774,928336,0
775,-13726,0
776,-929578,0
777,-165942,0
778,249522,0
779,543930,0
780,-478063,0
781,-353668,0
782,367083,0
783,-689313,0
784,911473,0
785,-199376,0
786,225799,0
787,-638325,0
788,-347703,0
789,-832176,0
790,-298653,0
791,-694856,0
792,-744111,0
793,-334764,0
794,-75160,0
795,142227,0
796,908586,0
797,-31982,0
798,-47691,0
799,460424,0
800,537137,0
801,-993307,0
802,129788,0
803,-985910,0
804,-440456,0
805,934121,0
806,-757628,0
807,377472,0
808,519827,0
809,393987,0
810,-462043,0
811,772300,0
812,818681,0
813,-121629,0
814,80937,0
815,389765,0
816,-129240,0
817,-215826,0
818,-927863,0
819,472315,0
820,368583,0
821,-813409,0
822,-47799,0
823,-15280,0
824,59623,0
825,280799,0
826,424705,0
827,948865,0
828,484445,0
829,24580,0
830,644635,0
831,-800963,0
832,979141,0
833,522975,0
834,-193222,0
835,941906,0
836,506699,0
837,714231,0
838,193088,0
839,45550,0
840,649606,0
841,414232,0
842,4392,0
843,343131,0
844,886516,0
845,-868416,0
846,-570380,0
847,-135845,0
848,391572,0
849,-670121,0
850,296782,0
851,840300,0
852,-461370,0
853,-272414,0
854,-605791,0
855,-137841,0
856,600006,0
857,-865217,0
858,221396,0
859,451429,0
860,-442264,0
861,808680,0
862,157559,0
863,-655361,0
864,-427722,0
865,580553,0
866,-10759,0
867,919266,0
868,297275,0
869,-775456,0
870,800828,0
871,842713,0
872,-872909,0
873,319026,0
874,116786,0
875,10177,0
876,380343,0
877,-465741,0
878,-794311,0
879,409715,0
880,-165773,0
881,-710571,0
882,-71822,0
883,-726876,0
884,-944377,0
885,619107,0
886,809629,0
887,-234524,0
888,-748125,0
889,-551165,0
890,-708454,0
891,-842832,0
892,481352,0
893,-494496,0
894,552289,0
895,-202391,0
896,-730939,0
897,-537159,0
898,-337317,0
899,-656269,0
900,577065,0
901,-136353,0
902,-571598,0
903,-214612,0
904,-728536,0
905,207269,0
906,-400471,0
907,206949,0
908,-122294,0
909,953893,0
910,250093,0
911,-378139,0
912,830246,0
913,-852525,0
914,-444055,0
915,809062,0
916,-772292,0
917,143961,0
918,586458,0
919,-811010,0
920,200790,0
921,875688,0
922,-253949,0
923,-271509,0
924,860453,0
925,550866,0
926,-675478,0
927,612575,0
928,-632532,0
929,179634,0
930,157464,0
931,703740,0
932,453309,0
933,668015,0
934,-801913,0
935,129471,0
936,-40830,0
937,-516391,0
938,-752457,0
939,403013,0
940,615528,0
941,788960,0
942,798787,0
943,-675352,0
944,544943,0
945,786862,0
946,772166,0
947,474012,0
948,-390712,0
949,452131,0
950,-207985,0
951,-715433,0
952,-620378,0
953,855982,0
954,-620109,0
955,878802,0
956,-364215,0
957,174909,0
958,-872165,0
959,-547616,0
960,481462,0
961,517829,0
962,81698,0
963,703235,0
964,726515,0
965,521446,0
966,-489729,0
967,-329606,0
968,-101799,0
969,293875,0
970,980771,0
971,974997,0
972,-229560,0
973,381181,0
974,-504699,0
975,-344555,0
976,-493428,0
977,519809,0
978,130076,0
979,316220,0
980,168513,0
981,989599,0
982,504090,0
983,-175808,0
984,-16060,0
985,482331,0
986,614608,0
987,165253,0
988,423434,0
989,380335,0
990,839611,0
991,-251331,0
992,-679686,0
993,849772,0
994,982782,0
995,-780991,0
996,-694640,0
997,-855010,0
998,-528652,0
999,-300387,0
1000,-28910,0
