ID,n,det
124,-339133,1
125,917470,1
126,785550,1
127,116553,1
128,-945532,1
129,638044,1
130,-392193,1
131,-281756,1
132,-153826,1
133,930519,1
134,-97728,1
135,-429268,1
136,565395,1
137,-764425,1
138,-836712,1
139,845216,1
140,845760,1
141,132019,1
142,272143,1
143,181801,1
144,778132,1
145,465331,1
146,-140237,1
147,222591,1
148,-638428,1
149,828759,1
150,-380494,1
151,986511,1
152,-445202,1
153,474312,1
154,-76566,1
155,295616,1
156,432033,1
157,-575366,1
158,-604992,1
159,30828,1
160,-138301,1
161,971518,1
162,108401,1
163,-390341,1
164,-195041,1
165,777523,1
166,-640424,1
167,-565810,1
168,-408881,1
169,356501,1
170,-199621,1
171,349363,1
172,-878604,1
173,-349708,1
174,-113025,1
175,93871,1
176,433109,1
177,-908155,1
178,560738,1
179,668286,1
180,339034,1
181,-232954,1
182,375469,1
183,254623,1
184,738066,1
185,503793,1
186,-628876,1
187,-931756,1
188,-904599,1
189,304279,1
190,-737168,1
191,-412843,1
192,-47257,1
193,267853,1
194,345481,1
195,-122100,1
196,-661079,1
197,-950941,1
198,45236,1
199,-312032,1
200,-41934,1
201,-49503,1
202,570805,1
203,-778488,1
204,-578711,1
205,-428702,1
206,-275978,1
207,-440556,1
208,-138661,1
209,-547485,1
210,678440,1
211,-533985,1
212,846243,1
213,238456,1
214,-566874,1
215,-408347,1
216,-505778,1
217,-268685,1
218,-826097,1
219,-219273,1
220,241857,1
221,540388,1
222,519353,1
223,-908134,1
224,438749,1
225,-655512,1
226,-996066,1
227,438223,1
228,552311,1
229,530002,1
230,642131,1
231,103622,1
232,621794,1
233,280562,1
234,-776998,1
235,82521,1
236,312391,1
237,889236,1
238,-656464,1
239,216047,1
240,-559507,1
241,258874,1
242,-660811,1
243,11641,1
244,-197468,1
245,86087,1
246,-677930,1
247,223929,1
248,-39048,1
249,517661,1
250,-245557,1
251,715379,1
252,888608,1
253,478194,1
254,234500,1
255,-509866,1
256,-123989,1
257,-289883,1
258,138508,1
259,-648089,1
260,-230713,1
261,-391172,1
262,-211062,1
263,-65148,1
264,-880178,1
265,-50247,1
266,-209426,1
267,-827511,1
268,321909,1
269,833543,1
270,861828,1
271,-567642,1
272,603939,1
273,719567,1
274,531299,1
275,744863,1
276,543288,1
277,791280,1
278,335974,1
279,-371141,1
280,-726619,1
281,-95407,1
282,-18441,1
283,-155669,1
284,947602,1
285,526573,1
286,367397,1
287,-373772,1
288,339541,1
289,356643,1
290,823704,1
291,-550462,1
292,-149373,1
293,-225299,1
294,24765,1
295,745585,1
296,326593,1
297,720267,1
298,-879896,1
299,-143833,1
300,-315426,1
301,926045,1
302,777453,1
303,-167653,1
304,-271860,1
305,-265519,1
306,181283,1
307,77966,1
308,-537533,1
309,746375,1
310,-787430,1
311,-810287,1
312,-693679,1
313,655233,1
314,250680,1
315,-677679,1
316,412494,1
317,-34662,1
318,-939463,1
319,515790,1
320,-624466,1
321,-853197,1
322,-913906,1
323,371546,1
324,803993,1
325,809105,1
326,-781478,1
327,647989,1
328,-148029,1
329,155861,1
330,-979119,1
331,-423942,1
332,-756123,1
333,965501,1
334,-79186,1
335,-190287,1
336,-623798,1
337,-947669,1
338,90759,1
339,-421254,1
340,-807829,1
341,-61732,1
342,-13647,1
343,785702,1
344,-275595,1
345,-640259,1
346,-490455,1
347,-424326,1
348,634253,1
349,269202,1
350,549582,1
351,-625467,1
352,-756009,1
353,57753,1
354,-931969,1
355,-306622,1
356,4892,1
357,975531,1
358,-123808,1
359,-590011,1
360,-657512,1
361,726870,1
362,117077,1
363,452063,1
364,767489,1
365,-964039,1
366,-678562,1
367,531507,1
368,621736,1
369,-960652,1
370,-544427,1
371,388459,1
372,-297212,1
373,389712,1
374,900615,1
375,-586154,1
376,145573,1
377,53948,1
378,-916598,1
379,868515,1
380,-351741,1
381,-830518,1
382,791302,1
383,-50057,1
384,-513127,1
385,-170584,1
386,202993,1
387,-446633,1
388,582001,1
389,-528359,1
390,760655,1
391,43001,1
392,449491,1
393,602364,1
394,737244,1
395,408465,1
396,-736455,1
397,964046,1
398,-43635,1
399,608541,1
400,193129,1
401,-927935,1
402,32153,1
403,530678,1
404,-696687,1
405,14029,1
406,-299183,1
407,-70757,1
408,-377445,1
409,-440912,1
410,-183343,1
411,759931,1
412,727604,1
413,554376,1
414,-827778,1
415,-442997,1
416,914725,1
417,186484,1
418,-385625,1
419,586678,1
420,-391818,1
421,309281,1
422,-360432,1
423,-849812,1
424,-247750,1
425,-678690,1
426,-487183,1
427,-102821,1
428,471702,1
429,561515,1
430,-825692,1
431,-276983,1
432,52835,1
433,151128,1
434,-398012,1
435,-572439,1
436,683478,1
437,-858393,1
438,-178004,1
439,-836793,1
440,511966,1
441,354008,1
442,616053,1
443,-107871,1
444,-878144,1
445,619063,1
446,-8706,1
447,404830,1
448,447248,1
449,-479543,1
450,492727,1
451,344544,1
452,705909,1
453,47440,1
454,915383,1
455,-353550,1
456,516692,1
457,105589,1
458,31596,1
459,652297,1
460,507315,1
461,43752,1
462,537973,1
463,107388,1
464,-570903,1
465,-942352,1
466,972609,1
467,-677693,1
468,-454627,1
469,511522,1
470,-483031,1
471,-10526,1
472,-652195,1
473,695089,1
474,900226,1
475,-626259,1
476,913600,1
477,-342256,1
478,-765276,1
479,-449314,1
480,967429,1
481,986542,1
482,-454513,1
483,-251793,1
484,-610003,1
485,-366266,1
486,-8472,1
487,-83654,1
488,-583316,1
489,734617,1
490,-792357,1
491,-348104,1
492,604631,1
493,717763,1
494,-957080,1
495,260650,1
496,-188644,1
497,282647,1
498,913212,1
499,-871240,1
500,-369886,1
501,-108234,1
502,-271806,1
503,282614,1
504,-901617,1
505,-456032,1
506,-422465,1
507,174181,1
508,-210578,1
509,-401971,1
510,-66278,1
511,-100930,1
512,-278632,1
513,-917369,1
514,732119,1
515,-870387,1
516,-200650,1
517,-154889,1
518,-156951,1
519,568459,1
520,-986922,1
521,-298024,1
522,-880613,1
523,-546585,1
524,-428240,1
525,-989024,1
526,-315508,1
527,632415,1
528,382962,1
529,760587,1
530,-326867,1
531,-979960,1
532,630425,1
533,62193,1
534,189652,1
535,895074,1
536,541482,1
537,548268,1
538,-369583,1
539,-531097,1
540,323697,1
541,943327,1
542,823940,1
543,-344852,1
544,188533,1
545,-157616,1
546,355910,1
547,12617,1
548,-249599,1
549,955412,1
550,590922,1
551,154268,0
552,-403175,0
553,-170440,0
554,873041,0
555,-508132,0
556,-912298,0
557,956414,0
558,-77965,0
559,988726,0
560,-310622,0
561,242750,0
562,-695285,0
563,-974958,0
564,779326,0
565,240798,0
566,-87838,0
567,-595043,0
568,497928,0
569,-698813,0
570,-601892,0
571,10743,0
572,-470334,0
573,-628784,0
574,-291927,0
575,103152,0
576,-413976,0
577,831014,0
578,-82638,0
579,-29223,0
580,698435,0
581,361791,0
582,395179,0
583,-914177,0
584,-923657,0
585,-336968,0
586,-980756,0
587,687953,0
588,-887014,0
589,-384100,0
590,206689,0
591,532844,0
592,-852493,0
593,677659,0
594,-409900,0
595,71802,0
596,178065,0
597,-16942,0
598,-537556,0
599,321124,0
600,-602766,0
601,-146390,0
602,-234134,0
603,-454154,0
604,-937354,0
605,-190117,0
606,885722,0
607,30231,0
608,994734,0
609,117029,0
610,-888760,0
611,-306922,0
612,-550820,0
613,-601211,0
614,-697711,0
615,-80508,0
616,-447021,0
617,929967,0
618,-175897,0
619,135353,0
620,-984277,0
621,85401,0
622,-753790,0
623,792686,0
624,748552,0
625,989243,0
626,661230,0
627,-411133,0
628,-644674,0
629,-12008,0
630,620500,0
631,-900725,0
632,-42490,0
633,343944,0
634,478121,0
635,257282,0
636,-947919,0
637,581808,0
638,-713090,0
639,-175118,0
640,-458917,0
641,-745495,0
642,732497,0
643,418666,0
644,738639,0
645,85860,0
646,-678474,0
647,888253,0
648,15914,0
649,360531,0
650,-679577,0
651,-558559,0
652,-653874,0
653,32178,0
654,-112169,0
655,711608,0
656,-461619,0
657,967758,0
658,-287287,0
659,-34114,0
660,-580145,0
661,-91511,0
662,837958,0
663,326832,0
664,119225,0
665,-939366,0
666,-539848,0
667,-403016,0
668,-166142,0
669,691833,0
670,-956461,0
671,-95960,0
672,338647,0
673,727429,0
674,614849,0
675,-60889,0
676,457083,0
677,-137887,0
678,-385434,0
679,574186,0
680,-753202,0
681,565448,0
682,-509300,0
683,746177,0
684,-982711,0
685,184813,0
686,207765,0
687,995876,0
688,-973792,0
689,-919163,0
690,-60032,0
691,616420,0
692,-609160,0
693,388309,0
694,528847,0
695,848937,0
696,-654754,0
697,-79544,0
698,228841,0
699,-652940,0
700,728761,0
701,881769,0
702,-240949,0
703,293870,0
704,747658,0
705,-674653,0
706,-528969,0
707,-698687,0
708,-189742,0
709,908628,0
710,70863,0
711,721764,0
712,-630067,0
713,-926211,0
714,-532891,0
715,651308,0
716,759611,0
717,-710868,0
718,195947,0
719,-829305,0
720,205938,0
721,-490394,0
722,50195,0
723,244402,0
724,285971,0
725,-501057,0
726,732260,0
727,-567554,0
728,445105,0
729,465001,0
730,-262459,0
731,118815,0
732,748287,0
733,-193373,0
734,252408,0
735,755999,0
736,711481,0
737,-295044,0
738,717271,0
739,-75869,0
740,13480,0
741,-792691,0
742,-102181,0
743,-906637,0
744,105075,0
745,-188073,0
746,-92202,0
747,-153106,0
748,-406183,0
749,668040,0
750,533649,0
751,880670,0
752,-808086,0
753,130580,0
754,-420526,0
755,255627,0
756,-818629,0
757,-711569,0
758,-864030,0
759,328496,0
760,-900807,0
761,-594100,0
762,15117,0
763,-553821,0
764,-727778,0
765,726770,0
766,-742639,0
767,-994518,0
768,104882,0
769,48872,0
770,-949981,0
771,102684,0
772,109011,0
773,623590,0
774,478169,0
775,517836,0
776,589820,0
777,758696,0
778,-539977,0
779,729652,0
780,-240528,0
781,565777,0
782,239424,0
783,309170,0
784,731928,0
785,907441,0
786,10277,0
787,-144696,0
788,-623715,0
789,-515565,0
790,245840,0
791,-460332,0
792,33499,0
793,336904,0
794,204841,0
795,-938168,0
796,306374,0
797,77737,0
798,-365161,0
799,-572556,0
800,811967,0
801,872351,0
802,-549261,0
803,-977419,0
804,-854001,0
805,-616266,0
806,995392,0
807,-407879,0
808,452191,0
809,827702,0
810,-783629,0
811,488155,0
812,122249,0
813,997466,0
814,-595059,0
815,316700,0
816,347374,0
817,424996,0
818,932948,0
819,789526,0
820,554531,0
821,-551026,0
822,-251287,0
823,-451561,0
824,958410,0
825,356367,0
826,-631808,0
827,259413,0
828,-514760,0
829,815861,0
830,-343728,0
831,89026,0
832,802118,0
833,-690944,0
834,561523,0
835,-491898,0
836,183059,0
837,-970418,0
838,37935,0
839,882079,0
840,222830,0
841,-607427,0
842,522762,0
843,-48147,0
844,370739,0
845,165654,0
846,-673014,0
847,-971976,0
848,133275,0
849,-931636,0
850,944805,0
851,416466,0
852,-328882,0
853,302620,0
854,34572,0
855,758950,0
856,-430963,0
857,-449412,0
858,910069,0
859,443589,0
860,208105,0
861,739780,0
862,507288,0
863,-781313,0
864,-264400,0
865,-234867,0
866,-665773,0
867,90837,0
868,-813668,0
869,19589,0
870,301837,0
871,-838865,0
872,-353562,0
873,803751,0
874,-18091,0
875,500555,0
876,-342442,0
877,68523,0
878,704911,0
879,-420757,0
880,574243,0
881,194496,0
882,-868450,0
883,-982939,0
884,154715,0
885,918089,0
886,801588,0
887,-786264,0
888,-756005,0
889,174808,0
890,-916030,0
891,803296,0
892,6057,0
893,-252412,0
894,375877,0
895,-810987,0
896,-512319,0
897,855327,0
898,546880,0
899,-973492,0
900,-313810,0
901,-620141,0
902,175145,0
903,329151,0
904,-841482,0
905,-96777,0
906,-100366,0
907,-917389,0
908,495556,0
909,-40883,0
910,84659,0
911,-695061,0
912,-789694,0
913,-311285,0
914,-898100,0
915,-225287,0
916,399944,0
917,791234,0
918,357485,0
919,871134,0
920,831450,0
921,-653943,0
922,8608,0
923,51937,0
924,894146,0
925,-559623,0
926,1362,0
927,-429255,0
928,-733710,0
929,-912871,0
930,-702070,0
931,654873,0
932,-121353,0
933,-965581,0
934,-124244,0
935,-188302,0
936,397680,0
937,-759840,0
938,-349752,0
939,-769788,0
940,-725011,0
941,-46566,0
942,-176417,0
943,-836185,0
944,-463598,0
945,965606,0
946,871824,0
947,-482586,0
948,-384884,0
949,-836837,0
950,750215,0
951,-778909,0
952,638800,0
953,707741,0
954,-411456,0
955,-445379,0
956,729525,0
957,938634,0
958,-715009,0
959,-481562,0
960,-760336,0
961,661155,0
962,-343221,0
963,875289,0
964,-695978,0
965,-561146,0
966,-725378,0
967,-370333,0
968,974348,0
969,84287,0
970,667897,0
971,-117900,0
972,275226,0
973,683033,0
974,431828,0
975,-464060,0
976,-816308,0
977,-467355,0
978,785243,0
979,750250,0
980,791190,0
981,-776232,0
982,-499104,0
983,-50051,0
984,707714,0
985,-415499,0
986,823283,0
987,632320,0
988,-557558,0
989,212258,0
990,164104,0
991,273614,0
992,289551,0
993,-381201,0
994,-332242,0
995,-788261,0
996,-659624,0
997,893725,0
998,471605,0
999,-105289,0
1000,-35396,0
