ID,x,z
173,-213818,828203
174,671284,523434
175,-623372,900472
176,927391,663447
177,712025,492382
178,-208732,274728
179,787513,76046
180,119318,-852445
181,-960425,-816217
182,744111,868719
183,-362965,896713
184,-779001,308293
185,-762752,179046
186,791658,-56532
187,631043,991276
188,-50543,-984787
189,-478975,361928
190,-113451,618493
191,246959,772085
192,25141,-709694
193,415363,-316574
194,486724,-311661
195,108610,-732772
196,-902405,145527
197,701965,-24617
198,140831,-616793
199,354745,204260
200,-938518,639891
201,-923258,-723744
202,-532117,-816737
203,-674576,-591566
204,-478808,-847763
205,536522,-265386
206,144945,-934427
207,-973190,685082
208,875335,-16566
209,467890,663834
210,-64178,-462814
211,-103760,-159086
212,996362,47749
213,591033,315707
214,959948,-297023
215,217450,653936
216,-524910,903412
217,624506,-601983
218,-140465,598917
219,-316196,333762
220,-347621,-173736
221,168489,-794787
222,-371167,496779
223,172241,822143
224,787796,-381561
225,-203050,-699642
226,300933,-669365
227,735212,795473
228,-193422,672048
229,363512,300129
230,-774219,864496
231,628573,399830
232,380879,-448266
233,392126,894927
234,-3435,122212
235,-596386,-980213
236,254993,-892529
237,106816,97483
238,-577976,465288
239,-45584,-988794
240,-772824,-352717
241,250516,942547
242,449746,602101
243,-520280,-128160
244,585833,-26474
245,-326033,-452329
246,-22278,-675852
247,-106270,551018
248,-458114,-112273
249,534502,-986307
250,921225,-608939
251,-478946,-844695
252,-730993,786354
253,-2846,433503
254,-591478,843002
255,107650,214878
256,-367283,456760
257,272553,-348427
258,-865006,-966870
259,-902982,-483476
260,-822816,646413
261,784278,-616363
262,94568,292479
263,193977,673046
264,164788,-293755
265,-283993,708453
266,-798754,181108
267,-710831,763020
268,463068,939471
269,-226846,-921415
270,-477380,-174486
271,826132,-536688
272,566489,-42926
273,-533913,-196862
274,584060,-144810
275,30256,-388317
276,162333,952696
277,153187,-574837
278,-483597,477487
279,785548,28462
280,997770,745777
281,-347997,-987063
282,259171,-428411
283,-216942,-473853
284,554573,-474868
285,-295200,345216
286,199393,375550
287,-117864,842822
288,5367,809293
289,-999147,-748134
290,235887,-608524
291,-402979,466994
292,593254,102418
293,639133,655008
294,826655,844530
295,478032,981633
296,156624,-782387
297,411606,-510698
298,-739331,-812393
299,301529,-950203
300,500373,555594
301,792703,-865685
302,929484,214413
303,342809,-461479
304,-706580,61967
305,265167,709388
306,-643763,-38632
307,331889,-481442
308,-659871,-130582
309,517656,844173
310,-399256,955807
311,68079,-80339
312,-500285,-372081
313,-407910,13631
314,312285,641606
315,-21662,-198794
316,159708,-574876
317,962506,852624
318,-901182,984933
319,121873,-723451
320,299258,622617
321,414277,386791
322,-461846,-476007
323,-713714,842522
324,595325,-984955
325,-41048,525948
326,-497827,793533
327,-136082,572480
328,931882,-731067
329,-267097,669459
330,-801441,874732
331,-245718,-871152
332,-585590,146303
333,649843,-748195
334,-723836,-585638
335,247329,826406
336,-868500,463246
337,853464,-30991
338,555221,-38699
339,228660,248011
340,-899861,-899229
341,-294851,-902135
342,358909,-394435
343,-518506,134
344,859047,-865916
345,460450,-623482
346,-489955,696643
347,-849865,20350
348,-490276,129960
349,-431419,504562
350,-493547,201382
351,-491034,898331
352,139025,-40410
353,723854,-691591
354,-518360,213172
355,-777626,-799780
356,-927865,-568794
357,-369598,776044
358,-463662,-239671
359,318503,469365
360,223677,985579
361,272069,-19391
362,-658829,8901
363,284410,155646
364,288262,701307
365,-888880,-331251
366,743098,16770
367,-534291,944188
368,738159,-575237
369,537552,-776979
370,726336,187062
371,704217,-40999
372,250103,-815904
373,447280,391813
374,549784,-782333
375,145181,-252983
376,924234,-159910
377,429691,790753
378,75274,738474
379,-614521,-579471
380,-265966,-597854
381,-145422,27818
382,-931536,943022
383,408817,754970
384,-573065,613334
385,829439,-836705
386,-619405,881802
387,-412329,491864
388,-307960,-369162
389,365962,-260680
390,-924951,-989069
391,-85677,697295
392,282286,762277
393,836673,-273427
394,-483422,226280
395,414340,-339490
396,523370,-249853
397,-625618,805706
398,-833243,832989
399,-895036,706178
400,86645,-685791
401,994286,-804151
402,53361,-354562
403,-725282,471158
404,325480,917556
405,-971367,574190
406,-194187,766528
407,-640321,860583
408,218939,503055
409,-7006,688336
410,-710279,202925
411,749058,-420564
412,-765955,70433
413,16050,-613039
414,-79496,-65017
415,-495409,-360638
416,-298161,-95553
417,55223,353146
418,-183500,137427
419,140749,440815
420,-38767,615758
421,379792,-335343
422,180161,55103
423,-686144,-965693
424,-599326,847250
425,991307,857090
426,-845091,202022
427,-966630,316024
428,-160353,-269208
429,-421197,-100486
430,-318513,-578612
431,-113108,-320364
432,-635924,432060
433,38926,-364806
434,-673337,-99442
435,884613,134158
436,93193,540120
437,892805,-728941
438,-425564,-607038
439,-801861,-427854
440,200183,872058
441,331974,165485
442,-966266,265164
443,-604185,569911
444,987712,538290
445,287053,-329389
446,-104311,96896
447,182037,-249295
448,-81272,157064
449,816600,-314251
450,-869179,-781038
451,513413,-12948
452,363726,-916631
453,-857015,-207928
454,564443,-807005
455,-980042,6988
456,-920844,-320491
457,294791,724033
458,-157104,205131
459,225452,-130983
460,740856,408000
461,731846,-795056
462,960050,-668654
463,930566,886135
464,994329,-752577
465,-549744,736608
466,-386026,933033
467,221232,146312
468,960047,-112401
469,516150,218102
470,-600335,-882017
471,226316,-261278
472,-118284,-46517
473,743132,673003
474,453625,816115
475,-815781,-790599
476,3294,-696672
477,-234389,766820
478,265361,954778
479,60992,-462695
480,364054,-101352
481,50803,-385099
482,822634,-665117
483,409786,918794
484,148647,-701265
485,-831703,706799
486,937524,507985
487,-35661,467910
488,-848324,-979517
489,196700,166013
490,-131414,-441559
491,-989317,-653545
492,-48806,792145
493,-465900,-749843
494,-484280,841459
495,673491,-722410
496,779922,165879
497,-704108,182121
498,-15349,271073
499,-925739,7511
500,440453,537937
501,578768,-375957
502,767128,-438480
503,-181895,597241
504,889166,455762
505,-239762,390516
506,-385604,992095
507,775162,297860
508,-238551,467783
509,-476777,-5617
510,-383828,861455
511,492171,-208388
512,497793,716089
513,333384,914050
514,374960,667792
515,-806879,305911
516,-697603,897932
517,167386,-354746
518,-570302,-385652
519,696127,-986143
520,-377406,-274260
521,-441435,-398307
522,-404380,784942
523,-813317,-892116
524,-587106,790713
525,-362818,-846129
526,706421,14614
527,-247944,636372
528,647060,-822429
529,848607,-119429
530,724189,-856155
531,722240,-25600
532,-848736,-378521
533,220773,-439003
534,-75886,509869
535,-442752,49349
536,369291,-244563
537,-284336,-881436
538,709894,442029
539,-823339,987523
540,251670,-271038
541,772436,-316790
542,832772,531050
543,-933003,99065
544,-237006,593886
545,502655,662329
546,160236,661004
547,97810,-473702
548,-722679,761072
549,-56776,-242324
550,912211,194461
551,215449,359288
552,-478073,-137586
553,998444,871522
554,-502782,-404178
555,-692682,209376
556,877998,148470
557,-831948,-300488
558,-906983,775396
559,159581,-665075
560,291344,54298
561,629745,899907
562,-688736,325982
563,581230,325540
564,-420275,-250462
565,913602,111163
566,-942995,-60797
567,-447682,-756640
568,59048,469151
569,797086,-192005
570,-140635,895010
571,241650,-711486
572,-543752,593317
573,873550,-477803
574,-371072,-962216
575,-598597,-5383
576,117697,84726
577,-686265,-858542
578,-297633,947997
579,-414911,215550
580,-742603,243273
581,-196435,-162403
582,934174,-657307
583,2110,308568
584,432451,752293
585,296224,-432499
586,-285775,-147021
587,-391963,820539
588,354127,-874143
589,836908,780583
590,-763104,186020
591,-601553,747005
592,284546,-927081
593,335121,-456463
594,-98992,958488
595,491088,766513
596,789254,-971997
597,336034,-720470
598,-862477,379027
599,906879,445497
600,-313232,954777
601,-646621,-282372
602,-826265,532275
603,501324,-635496
604,122436,44320
605,799847,592555
606,-89532,59872
607,-58639,468390
608,471427,292942
609,-907183,893565
610,500669,138237
611,-700793,-158752
612,-360951,-548129
613,748934,916804
614,380781,835533
615,-846350,-583095
616,137984,205920
617,-4919,699978
618,216045,-138031
619,278326,988766
620,-205721,82579
621,691817,-956673
622,-265683,-606023
623,-136879,251299
624,-775705,-30085
625,75679,482352
626,-859408,648198
627,-531835,470218
628,159491,-196398
629,388118,-49717
630,749481,660486
631,-853107,686743
632,-196232,773347
633,-995308,270232
634,-958760,-717596
635,-47507,147574
636,-811290,224343
637,890593,-908441
638,-257195,-733089
639,507991,-402579
640,499548,-364033
641,-885546,-216228
642,-177052,-721058
643,888113,188632
644,-577320,342713
645,378287,218788
646,-823286,7721
647,-580894,817108
648,899808,-861011
649,-877761,972608
650,-508506,-534491
651,-786617,-972408
652,-905239,223122
653,776241,-390752
654,178374,-911296
655,265761,-414242
656,-870512,-166736
657,-914512,-931020
658,244765,897869
659,-807325,970428
660,-258519,-913916
661,618261,-590543
662,758918,-264247
663,-179340,-241812
664,-739280,259117
665,-7912,934524
666,417000,-735907
667,-864619,292805
668,362973,-222980
669,905902,15418
670,349530,283166
671,852881,-229987
672,-395,-548828
673,567022,-841764
674,876792,-113003
675,-50002,693752
676,-155367,718389
677,64781,-754862
678,-352430,753995
679,-985635,-542571
680,-528947,406838
681,375836,96261
682,-494237,-447850
683,928130,515725
684,602063,-96386
685,40209,-828631
686,-454654,496949
687,810774,666324
688,-934467,-934017
689,706132,492568
690,-10518,-833162
691,754980,380396
692,155613,-927326
693,-602427,998557
694,-738145,-786514
695,827779,92234
696,249494,449044
697,-217015,817698
698,79120,-634591
699,666830,-866388
700,-953131,424089
701,-425070,166146
702,42824,-231460
703,-330572,-399358
704,-788108,380176
705,-172072,974637
706,-80779,-312005
707,-466129,55059
708,88775,-827382
709,-382741,-746200
710,645019,-345810
711,-935060,628699
712,-879966,936092
713,-915079,904630
714,62508,89267
715,-355471,-453937
716,487751,-195531
717,-401489,-548330
718,722328,-648697
719,461756,-567568
720,-911930,-920656
721,847343,3755
722,-614260,-783978
723,856498,431110
724,-316244,-874241
725,-49637,127635
726,-759545,359031
727,-647148,-557218
728,576639,629810
729,-268061,-260862
730,548702,834994
731,72384,-133948
732,-88663,977671
733,-792097,929862
734,-839537,-111221
735,-507216,-571239
736,150614,-487169
737,-359051,-38881
738,382584,-178036
739,836185,882253
740,944639,352504
741,-131020,824351
742,-545,-496958
743,265164,110400
744,-653137,675362
745,709491,302777
746,619942,-347277
747,-582155,613076
748,270662,-214069
749,853488,-678858
750,220577,-445596
751,-967813,13395
752,-93295,722705
753,-559584,749826
754,477759,-9238
755,-657305,-64603
756,393364,-708237
757,973956,550752
758,951746,-512575
759,-949961,-63164
760,908242,-543503
761,825217,-236201
762,-29083,850738
763,846678,956320
764,-273462,-800777
765,-382638,-325715
766,998574,103737
767,-618542,-796402
768,-939260,-570659
769,-556652,478272
770,633497,705848
771,30938,683164
772,478102,-476874
773,379882,31295
774,-253002,690723
775,-532044,-88224
776,71413,-382578
777,374586,543363
778,-980862,624882
779,297253,-40435
780,-680236,31067
781,-445074,239400
782,-724067,-230206
783,-667322,-16290
784,-363485,-502690
785,-655149,701413
786,263144,984128
787,820370,-513857
788,-345871,820250
789,699137,694092
790,-869216,166200
791,-641846,556039
792,388831,783225
793,-858314,109441
794,-205852,-664033
795,417023,790266
796,-726046,-688148
797,187109,-781562
798,-899797,62247
799,-542234,572331
800,600345,145795
801,441239,348311
802,-999405,-961630
803,-545690,-74048
804,-605601,891117
805,536100,-692603
806,274297,243021
807,160569,375802
808,331966,731961
809,-985563,-887161
810,-654916,215473
811,372005,388643
812,594362,272050
813,902688,601801
814,266981,602893
815,791582,371152
816,-319789,272218
817,529977,-575774
818,855180,253000
819,-346137,-615490
820,-77383,820280
821,-600621,877561
822,-448376,243501
823,918722,994574
824,-441728,-196542
825,-232437,-601952
826,-823711,441328
827,957184,-859608
828,-625555,316758
829,849364,782125
830,591266,-313394
831,-433533,988379
832,859186,393950
833,-781061,-493844
834,-261475,184728
835,214347,-349118
836,260685,-194789
837,-62865,-84412
838,456391,-414212
839,159514,-474825
840,-120987,-579662
841,-637528,-752993
842,576265,211544
843,419835,889671
844,848152,-858969
845,-316015,-989509
846,-768764,-13653
847,377557,-418381
848,-596334,-62253
849,-342932,-848748
850,25011,-773542
851,-946663,-318291
852,-413743,-987733
853,-849777,-880123
854,-780715,974386
855,609178,330783
856,273139,573342
857,553287,130694
858,824482,-577642
859,64951,-22267
860,-471771,-83268
861,661828,963599
862,269984,-37192
863,888467,385355
864,627418,-608648
865,826924,750352
866,906981,-545827
867,79821,425858
868,61194,-625815
869,-390065,-851840
870,-87630,-384126
871,-211561,-866992
872,-857743,123955
873,-756703,465793
874,180017,102430
875,591948,-328244
876,898757,-544656
877,-745817,801902
878,737289,-494928
879,-281966,-930931
880,901255,-38356
881,-993553,675313
882,606731,-160127
883,-561063,-686670
884,-305721,-4121
885,529480,755816
886,-871865,497074
887,527328,-323679
888,-193206,928378
889,-812876,259389
890,-755437,-775449
891,-269484,286231
892,-918892,-155310
893,-55821,248070
894,575708,390003
895,-185590,-494604
896,-507842,125833
897,-875024,-841862
898,690818,-986533
899,-967455,-334500
900,-446397,766198
901,-850105,-181926
902,957033,-907280
903,-267812,61213
904,682182,-362472
905,-886588,-304194
906,515079,-231188
907,953836,-159024
908,238063,268153
909,-571481,784125
910,-169847,560868
911,-578626,719858
912,-487631,-801632
913,-959850,393338
914,-4804,-226233
915,-193582,409993
916,-315036,225467
917,656442,255082
918,-918078,720452
919,174766,-536649
920,951090,373558
921,649991,-776886
922,49422,-950221
923,397604,331034
924,614463,-787314
925,244208,-235276
926,-490055,795498
927,-393094,-314178
928,382218,776644
929,294222,-470761
930,906852,-408802
931,-624814,-498723
932,892988,329531
933,953993,664061
934,-370331,306207
935,591652,601390
936,-924599,939686
937,360437,-769776
938,-852495,974961
939,-70997,-780233
940,411549,-145647
941,728466,425791
942,-680450,-910757
943,-32690,367024
944,529078,666752
945,837942,505535
946,599372,-790331
947,-509417,502604
948,623896,-14250
949,-394836,556586
950,-182827,-426608
951,977050,867619
952,491386,-956554
953,312756,32350
954,283837,909794
955,-612282,-773627
956,-732054,-389085
957,501499,848263
958,725457,638524
959,-748868,-268232
960,-818539,-971980
961,-512487,974383
962,-821258,50788
963,-263742,-556768
964,890130,-762130
965,-522462,96158
966,66841,705100
967,-200984,837523
968,-362248,-14115
969,-329410,955193
970,-710094,-187463
971,116109,386774
972,387714,-393945
973,543918,997879
974,582391,823809
975,-15258,-879074
976,277010,559884
977,-269084,477973
978,627590,925789
979,-740298,-671048
980,859499,-863326
981,-547623,-788088
982,-513643,379654
983,867233,-802501
984,-235667,-704822
985,777958,716276
986,193695,686050
987,-397534,-125730
988,437279,-925866
989,389506,-171938
990,-423214,-220528
991,-496427,635690
992,917010,292459
993,-486557,648574
994,-603386,-674131
995,-368468,734157
996,31541,-558571
997,-568753,-361322
998,-950403,-524490
999,-994554,157936
1000,982663,470062
