ID,i,x
251,-167208,6964158
252,-6956337,-9790567
253,-1455862,6782665
254,-7973408,-7928820
255,-5244900,2270567
256,-5874851,3579598
257,-3627800,-6129469
258,-4351933,-136803
259,-9708744,-9564524
260,-4395539,4093490
261,-171087,5505415
262,-4402703,-2639576
263,-8594733,-8370671
264,-7590033,-2569920
265,-7783012,5181985
266,-5355300,9234799
267,-7300733,718108
268,-8756223,-5931699
269,-1695005,-8155263
270,-4768625,-5838682
271,-2804332,3222539
272,-146906,-4337773
273,-7498061,1426195
274,-2445697,-7672452
275,-1447009,1193109
276,-339745,-1669141
277,-1200836,6386586
278,-2213253,-2964226
279,-5318890,2697222
280,-6574204,1975770
281,-8188507,2033972
282,-7325786,-3728766
283,-3986359,-2702139
284,-5220472,-5801508
285,-1456542,-5327509
286,-1201709,8884131
287,-6108475,-795374
288,-2955109,-4538574
289,-8108999,-8700670
290,-1834282,7345348
291,-4066669,-1565077
292,-7877182,110185
293,-8994707,1780113
294,-4411407,-9199789
295,-1428499,-8872661
296,-6132985,-6671515
297,-6956417,6349272
298,-164484,-7205845
299,-5339079,-8511762
300,-9071957,-2856283
301,-6242393,-707959
302,-1654071,9671659
303,-3193352,5013746
304,-7656929,33922
305,-1244113,-4091242
306,-7913238,-4057907
307,-7604036,8050531
308,-2935671,9495123
309,-4493413,2005515
310,-9410497,3767249
311,-2643054,7185789
312,-2682496,7555803
313,-9350730,9118313
314,-2462004,6395226
315,-3512373,6856897
316,-6554839,-5458525
317,-6644864,3615571
318,-2901357,9462859
319,-6698511,-7747190
320,-1848556,9821393
321,-2393957,-926553
322,-6865813,3370437
323,-9053251,-9699337
324,-2626685,-4354502
325,-6977518,-9310430
326,-4204044,-2186808
327,-6551949,5682240
328,-7243577,9355811
329,-4865225,-1087649
330,-400905,780799
331,-6425652,1258968
332,-1600192,8707925
333,-7418604,-503795
334,-7757187,8572200
335,-7471827,1363644
336,-1638523,4970015
337,-6733822,-5538698
338,-5434679,-7326288
339,-8377183,9112831
340,-3892991,-8730840
341,-5273924,4661920
342,-9910895,5562644
343,-9513770,6926272
344,-3014377,8706969
345,-9437747,-393499
346,-4800129,2829589
347,-3439103,8870317
348,-2376372,7616456
349,-4279591,-5029512
350,-598906,8987627
351,-1695222,1780319
352,-1670030,-2105952
353,-5798418,4862707
354,-621090,-5089804
355,-6073649,-9945518
356,-2489377,-7969629
357,-2966063,-7082270
358,-4021600,6064502
359,-273091,9128983
360,-7378180,-1007555
361,-6463636,20731
362,-4119432,-3246754
363,-6339398,9124857
364,-9593313,-8129957
365,-7438850,-6767437
366,-3688984,-1416534
367,-5860833,-6153848
368,-3914872,-1934426
369,-9836927,7209998
370,-3561373,-3240265
371,-6108310,1763546
372,-2067803,-3259098
373,-2034989,375489
374,-5277219,3225726
375,-5275968,1306416
376,-3101589,8404697
377,-3093561,366328
378,-9083511,3834115
379,-512557,861722
380,-1048140,-4792111
381,-4478190,-4220717
382,-4430591,-986685
383,-7373468,-4845484
384,-8613944,8433155
385,-2929034,3366286
386,-2254124,1781782
387,-2788684,9711347
388,-464089,-412179
389,-5088725,-8338940
390,-1177437,3644903
391,-7758099,-7134039
392,-2699944,-6196082
393,-3142795,-1938715
394,-1414817,-4382547
395,-4893206,-7844628
396,-2917372,4982079
397,-2995493,4775821
398,-7669080,2883875
399,-5520099,3431053
400,-62971,6444685
401,-2241923,-9033561
402,-5287212,2342379
403,-5291185,3487410
404,-3528502,-1457914
405,-5092209,-2888067
406,-1204327,7728711
407,-337263,6228181
408,-7888542,-2467501
409,-7516974,2602815
410,-256367,-3500830
411,-7270794,9488256
412,-9318985,1640443
413,-868440,-3525634
414,-8869653,-5939359
415,-9192046,5338904
416,-5193417,3708502
417,-8912598,-3009292
418,-7180680,7472483
419,-3301813,-4853443
420,-6374140,6359581
421,-3739625,2398474
422,-7857348,-257539
423,-6967490,-9003776
424,-9278199,-193280
425,-1816766,117586
426,-1878909,-2676211
427,-374470,6294819
428,-7797716,-9148609
429,-3171210,3393275
430,-3912906,9779364
431,-6357435,6839635
432,-5864129,-5912582
433,-2965064,1146571
434,-6412538,-4434858
435,-2425753,-5851907
436,-9513300,9364173
437,-3224845,4297932
438,-6735157,6847854
439,-2014215,9615702
440,-4023726,-535660
441,-7605465,581345
442,-1136288,-1043315
443,-3159865,8929861
444,-8919057,-4106378
445,-7331927,9787033
446,-4483554,-8255789
447,-8365196,480443
448,-6776366,-2406500
449,-3968109,8487450
450,-1073811,161983
451,-7121854,-8707376
452,-8431440,-3526406
453,-9269191,1613953
454,-3449463,-1782221
455,-9440084,6944640
456,-3179914,9242532
457,-4827986,9385224
458,-4288405,-7050206
459,-6104088,-1395325
460,-7171717,-834781
461,-71777,2881890
462,-9593047,-3852453
463,-1007167,-8459661
464,-1344897,8611281
465,-9698283,9338994
466,-6495605,873114
467,-270052,-1878038
468,-4076655,2129336
469,-7161762,-6531200
470,-3807345,3748159
471,-3909102,3221191
472,-2332098,-3239583
473,-9948162,-9685530
474,-1695101,4030452
475,-3853289,5775898
476,-608740,-6289089
477,-8819551,1269076
478,-3644951,5475725
479,-695161,8691021
480,-6474046,3089919
481,-4456475,9414202
482,-872457,6555190
483,-8025460,-6556611
484,-8863810,-1002062
485,-2775254,3838983
486,-5055504,-4407403
487,-8099973,8671768
488,-4901282,-3480689
489,-3831489,-6395735
490,-6212246,-6639195
491,-7267477,358361
492,-2666914,9402160
493,-8085091,2857882
494,-1343505,9984675
495,-1462677,-834227
496,-9190259,1159285
497,-6147645,8863008
498,-5147985,-4164932
499,-1333498,-832502
500,-3150315,438043
501,-4791312,-6296143
502,-3079649,7685235
503,-8453026,1617553
504,-1825256,-2731037
505,-2001986,-9478875
506,-9921484,-8149751
507,-6195800,-7282848
508,-1778795,-2992651
509,-5250913,5326335
510,-7032613,1236912
511,-6413902,-3723142
512,-3319910,8367149
513,-8364548,-8067045
514,-2926086,-9046169
515,-784822,-8993819
516,-1722387,-887344
517,-3811082,-8702035
518,-2964416,2720057
519,-4824239,-9339113
520,-6211508,6502693
521,-6420029,401224
522,-3400613,-9831109
523,-9795644,1143351
524,-3096120,8611508
525,-5180789,-6466253
526,-7777666,-2948603
527,-7848403,-2411173
528,-1303668,1085420
529,-4959916,-6127002
530,-6230789,-3619152
531,-9885838,7997542
532,-713611,-3400081
533,-783196,-2195692
534,-3925127,6576820
535,-3412978,-3634171
536,-5527482,-7255207
537,-8443332,8138945
538,-4261619,4985904
539,-8646236,7301654
540,-6176029,-2504414
541,-3969244,-7931936
542,-3777508,3289668
543,-1139783,4589053
544,-8567194,6447210
545,-8845061,-2526962
546,-614288,8262409
547,-5720004,-3986456
548,-4495171,-3911632
549,-3392676,-8564078
550,-5200530,-7772364
551,-9973589,2416422
552,-7343831,7431244
553,-5451153,3159641
554,-9811717,1744308
555,-535875,1002806
556,-4622062,1856131
557,-8196379,-6296644
558,-5290451,744631
559,-4362018,6492516
560,-8742837,7878289
561,-3517992,-3976722
562,-1082463,-2751392
563,-2466682,6598457
564,-3851673,7035750
565,-8615507,6912491
566,-1189941,863070
567,-4895647,-2859675
568,-5215170,1836924
569,-2180686,255374
570,-4412335,-1079597
571,-6035418,8970720
572,-6087443,336339
573,-5450599,929469
574,-2752721,5061747
575,-1022837,-5875486
576,-9217756,9651216
577,-1942115,-8493149
578,-7680749,-9038930
579,-5814664,-9638551
580,-9385770,4691590
581,-8373543,-7914316
582,-8748202,3948529
583,-806410,-9447563
584,-1240780,2052889
585,-6515538,364107
586,-4845779,-3349827
587,-2182518,363082
588,-5424591,2513985
589,-2849200,-3714205
590,-2186010,8768732
591,-2710580,-2707418
592,-8508152,-3911745
593,-6001865,-1974288
594,-9429672,2434230
595,-7627556,5479947
596,-2927919,1885040
597,-7830321,7421137
598,-5470878,7385077
599,-4526320,7747953
600,-9975658,72433
601,-8788271,-5235171
602,-9632724,-5098050
603,-2006708,5392747
604,-7562261,4153558
605,-3045759,-5389693
606,-9548383,7133150
607,-9644349,-5636835
608,-7687760,9961997
609,-3454847,353699
610,-4727153,2557887
611,-733365,-5569641
612,-4074356,6807325
613,-7156303,5773269
614,-6782497,3805846
615,-1894820,5490546
616,-2567065,3151831
617,-9997077,-1296431
618,-2117026,-485550
619,-2217024,8509499
620,-5397488,-2619643
621,-8092667,8767771
622,-9961239,-5543035
623,-2556062,-236291
624,-9847666,-1695364
625,-2781677,6128972
626,-3170384,16937
627,-6575576,-8638483
628,-7820684,-3821399
629,-3495168,-6548378
630,-4809985,-3310974
631,-1247283,7743499
632,-215374,8112257
633,-901218,-5417446
634,-5001270,9665924
635,-8551391,2953153
636,-4976658,-375839
637,-9813788,8000781
638,-5278067,-5843550
639,-1864617,-6544768
640,-2772962,1941472
641,-2889600,8391664
642,-3160936,7387599
643,-382752,7401847
644,-1112802,-9285882
645,-7640829,8758213
646,-992767,1442529
647,-5698645,-3744507
648,-1324242,-7231716
649,-1523450,2586916
650,-5935922,-4743412
651,-2272043,7627084
652,-785828,2384865
653,-8187011,-7779820
654,-7695330,8943707
655,-7205971,-8261232
656,-3749374,2995161
657,-7276675,-716530
658,-6858697,434495
659,-7241809,-9035105
660,-7916175,-1900689
661,-3742204,9373422
662,-320848,3026140
663,-2636890,750204
664,-894780,-1231191
665,-8107783,-2710138
666,-5646162,976023
667,-548419,961648
668,-4752265,-6406646
669,-566880,-9148741
670,-4312582,-8458034
671,-9875590,7144149
672,-7180072,-2153230
673,-150272,3231807
674,-5009448,6197193
675,-1644522,-1686565
676,-16820,3015438
677,-8049459,-5009928
678,-8487248,7032968
679,-4479337,-573661
680,-7439597,5332131
681,-4102386,-8814705
682,-7618446,9154011
683,-2034085,7021561
684,-8074632,6420364
685,-4198725,-7837206
686,-3837289,-3432254
687,-5969222,-451044
688,-8170685,-5722579
689,-6848288,-6922457
690,-8075208,-7577466
691,-4843764,-9100730
692,-2884227,7556355
693,-545205,-4444779
694,-3875346,-4531175
695,-8372160,-3222266
696,-7126577,7231925
697,-5273469,-89269
698,-474428,4309355
699,-8708757,6103286
700,-6472980,-2159951
701,-211584,9431267
702,-3713565,1422542
703,-4582085,9272663
704,-261179,8075315
705,-7903831,1889716
706,-8884815,-8019035
707,-6737630,-7746238
708,-8263559,-9332955
709,-4494991,1937239
710,-3962398,6276590
711,-5054868,-5560923
712,-4413986,-586266
713,-2366067,-1893896
714,-2640768,-6607721
715,-4181223,-5025283
716,-7838493,-449884
717,-5514292,-1283551
718,-9432856,-5287015
719,-2523950,5213323
720,-1388720,6879889
721,-6834142,-9973492
722,-2880308,3517274
723,-9152036,1941956
724,-1102181,1834661
725,-6865398,989099
726,-9892116,9910289
727,-7278494,7419268
728,-557456,-7982263
729,-9575245,2649724
730,-1783966,4861393
731,-6767023,1974993
732,-3566376,5468772
733,-667440,-5259601
734,-4224346,3844010
735,-6871751,-165040
736,-7246354,8412667
737,-2465681,8130460
738,-2504976,3558197
739,-3003572,-8045906
740,-2941145,-3895841
741,-6269420,5965408
742,-5658233,4190352
743,-4971015,4457924
744,-5456104,-6186508
745,-1249793,5927633
746,-4662176,7698287
747,-7011360,-1194552
748,-7647461,1815054
749,-1435855,-8787866
750,-6834541,-7541953
751,-390936,2637776
752,-3668005,2199114
753,-9232678,-5912390
754,-7620382,-994962
755,-9603025,-1131593
756,-893536,6363513
757,-3281309,6437646
758,-6771460,6762650
759,-4741079,-2893592
760,-5976584,6929379
761,-4936263,-4271096
762,-7529492,9507338
763,-2761372,2340244
764,-3154639,-4699476
765,-2601994,716032
766,-6707597,2074892
767,-8837169,5718388
768,-7990301,-6760275
769,-2428623,-1669897
770,-4863011,7789671
771,-3942129,8369668
772,-5059118,-5363302
773,-3502281,-593228
774,-2470731,-4902636
775,-6380657,1599877
776,-5526434,5160317
777,-2552138,6969732
778,-2249913,2437563
779,-9865594,-5714417
780,-2968085,4214391
781,-3353903,-6913964
782,-5726763,7325462
783,-8560182,693217
784,-2243947,1244211
785,-5576882,-6345641
786,-5345622,7741497
787,-1854374,5873371
788,-9072628,-4708278
789,-2739440,-3732792
790,-8745017,122018
791,-4332603,4735867
792,-8912719,-8259621
793,-8145512,-9208233
794,-3621124,6782824
795,-3289375,4083851
796,-3691746,2235472
797,-166314,-4684005
798,-7188145,-6425869
799,-2609529,5228488
800,-4899486,-6947556
801,2116359,-9997112
802,-7022339,6352325
803,-2368649,6108552
804,-614952,-5886019
805,1710964,-920659
806,8148504,6673147
807,-3758438,-6798028
808,94534,9213519
809,5431738,3793204
810,4321466,-7610453
811,9703746,-1368410
812,-3158426,-7237423
813,-9650975,-5960492
814,7797703,8923589
815,704845,7366306
816,2961191,-6652613
817,1449170,-7842402
818,3909223,-5051573
819,-1754522,2305950
820,-2045924,-2579823
821,-3585150,1415942
822,4984792,4912317
823,8860676,2419883
824,-6492803,5160288
825,-9067195,-8998467
826,-7061039,-8266141
827,7203524,5957622
828,-6838593,-9072054
829,6799043,-7769529
830,-5053555,7267913
831,2260346,-1130597
832,-8917167,8523008
833,4463876,-3157705
834,-7938935,551552
835,-4847001,-2315662
836,-3167469,2653730
837,4353587,7607965
838,-144355,4344589
839,-3163429,-559036
840,3963288,-6867535
841,-3932097,5649380
842,-2012065,8885017
843,-6391838,-13253
844,4449619,-6941566
845,-6279913,1354398
846,2399022,2594298
847,965744,-4742881
848,4322657,-16305
849,3409127,-7251549
850,-7559671,-8649363
851,-3987946,7982684
852,4954926,7304254
853,6574355,-2590886
854,-9134109,-61918
855,-7430900,443395
856,185457,-6882257
857,1327533,-4036446
858,7127743,326286
859,8715682,2422369
860,-5385463,2546200
861,-1356254,1758073
862,9454995,-1560194
863,8208753,-3759528
864,5108277,-7734735
865,-5861850,8105200
866,1866285,5216760
867,8975011,3883601
868,-5208174,-4548395
869,2366339,7204994
870,9336487,8576626
871,305117,5684925
872,3627365,-8667066
873,-9564512,-9234363
874,-7654125,-4785167
875,3903300,2351924
876,-6462649,-2491520
877,-6070274,3880556
878,-5563449,7676874
879,1111511,-9313277
880,-2588724,-9021541
881,1838828,-9148733
882,3161078,-9148195
883,9571021,-8726001
884,6856790,3259285
885,663180,-764164
886,-3998649,6940763
887,914645,-9188663
888,-5414440,-6513298
889,7382554,7256475
890,3997031,-7090839
891,6957591,9338460
892,8260791,6330420
893,2739690,-4728550
894,-6695307,-3399652
895,-5744845,-4137065
896,-2068612,3594185
897,2890770,-3861657
898,836069,777284
899,7423080,982879
900,-1039043,4063086
901,-8493461,7595345
902,-5139622,6471376
903,-5367959,-4270429
904,-5700580,5823785
905,-4980744,-1096748
906,9713405,3795307
907,-5276457,-8482650
908,3918999,-1480275
909,-5205685,4178207
910,-8338635,3588650
911,-8793295,9006621
912,3501759,1468978
913,3779351,-1696681
914,8288500,3734780
915,5648210,2384450
916,7076448,648895
917,9579413,-7627889
918,-832390,4126914
919,-1634036,9607475
920,-1999200,7431021
921,9430766,-7235704
922,2437778,5957965
923,-4668578,6019358
924,8764235,-4490133
925,9817713,-7804257
926,6665645,-4542947
927,3921172,9805035
928,-9630612,7114001
929,8042593,6135446
930,-4606543,-1615777
931,-8459632,8326631
932,-9140233,-857299
933,-6951304,5729588
934,2342852,2499708
935,9635190,9572194
936,-2118843,2549916
937,-9767906,2499439
938,884799,5351354
939,-4040617,-4853142
940,-8065675,9942721
941,8245726,2540038
942,8229965,7199573
943,-1960996,90743
944,5223202,7682727
945,1084367,8628164
946,-415280,4705330
947,9424917,-112433
948,2808036,2965097
949,4886741,-7514693
950,8667206,-9583248
951,7648140,-7783662
952,-1515315,1041102
953,-9147779,3902692
954,-2429204,9711760
955,4632151,-7640526
956,3174048,9097247
957,-974167,1580499
958,5848796,-5290726
959,-6352790,-2144495
960,-5901439,8734339
961,-213713,299530
962,-2054520,-4832824
963,8419537,5574400
964,4646977,4308976
965,1980040,-7918046
966,-9272961,-5982408
967,-2616923,4032443
968,2382881,8344718
969,-1711283,-4675134
970,-1868657,4554616
971,9043678,9863727
972,-7833194,8782404
973,6544243,4874286
974,8214515,-6314658
975,2097677,1964135
976,-994006,2217834
977,7860062,7606053
978,-6404204,-8465244
979,-9049791,9591657
980,7701707,8776019
981,-1507261,6337550
982,2267522,-2425691
983,5296490,1304562
984,5015931,-4731175
985,-4987151,-8121786
986,9052811,2819096
987,-8207878,9359622
988,-385643,7898418
989,-6132712,2015928
990,-8876227,1072322
991,6813532,3708923
992,775078,-5541934
993,4594237,8985748
994,6820403,4097686
995,-7612297,9165200
996,-4409075,-3873013
997,-7383465,-425887
998,3727412,8354886
999,3065249,9936063
1000,5638040,5994142
