ID,n
200,243772
201,163134
202,466394
203,-652875
204,-385480
205,-915387
206,-867183
207,-687401
208,-323383
209,25461
210,176216
211,-869879
212,-923076
213,-37625
214,858333
215,-609995
216,763015
217,-437296
218,754084
219,212313
220,763574
221,204648
222,246483
223,501967
224,-959524
225,975523
226,76433
227,-886256
228,-991904
229,848615
230,-75615
231,887147
232,-233147
233,247803
234,546224
235,811843
236,82679
237,493134
238,626727
239,-755738
240,-71560
241,-815863
242,-162216
243,187150
244,-484893
245,-582595
246,-831984
247,-343153
248,762574
249,-792774
250,-632118
251,23406
252,-148703
253,269396
254,-857807
255,973100
256,-689390
257,-933243
258,-278741
259,84037
260,711042
261,622892
262,275751
263,-590603
264,-441817
265,486170
266,932924
267,-626721
268,261687
269,363591
270,-434069
271,-391518
272,310925
273,390922
274,30865
275,-623873
276,26758
277,-550736
278,-502146
279,-579279
280,384149
281,-229002
282,213786
283,144185
284,-775527
285,-641384
286,-835749
287,-194092
288,-973612
289,-497841
290,-724523
291,357177
292,-624328
293,-392872
294,-528132
295,-521909
296,351974
297,-964466
298,-625924
299,520756
300,418488
301,-897841
302,721537
303,-836334
304,394707
305,284622
306,272183
307,-230724
308,-20973
309,800106
310,727389
311,-839899
312,170310
313,457753
314,-992245
315,711452
316,899069
317,-985183
318,-456944
319,875799
320,231551
321,122015
322,-692636
323,-128335
324,127098
325,-387375
326,505168
327,500330
328,-700839
329,-89321
330,877712
331,841696
332,-507096
333,487923
334,923646
335,773999
336,487043
337,-717982
338,58202
339,-472249
340,424927
341,53274
342,-541813
343,-128347
344,-512036
345,631640
346,348144
347,-603493
348,-813729
349,50742
350,-332670
351,-729866
352,-15728
353,36483
354,61538
355,-359032
356,-580767
357,841169
358,97569
359,643613
360,-529086
361,-443523
362,-393158
363,572334
364,502529
365,715736
366,492697
367,866735
368,442503
369,154116
370,898487
371,-910204
372,-379127
373,-516804
374,-665979
375,664717
376,-525851
377,-716116
378,-197528
379,436952
380,-736040
381,355104
382,-776803
383,-946845
384,-519716
385,36667
386,-130264
387,544923
388,-433196
389,-447580
390,675348
391,652319
392,-250958
393,752189
394,75506
395,-285361
396,-870547
397,-790827
398,-459364
399,89441
400,698164
401,-783727
402,493640
403,-127746
404,201956
405,976427
406,46320
407,863272
408,-668568
409,387978
410,-464783
411,961448
412,949977
413,854413
414,538902
415,-987693
416,-689237
417,-425604
418,-452750
419,801385
420,181415
421,984419
422,-702537
423,-411973
424,-931837
425,490138
426,-868133
427,-563877
428,-590145
429,-794286
430,-189140
431,535659
432,708641
433,317459
434,-839722
435,239486
436,-141894
437,-535627
438,-977981
439,-683171
440,125970
441,-432221
442,-359631
443,486019
444,-203156
445,-781183
446,228484
447,-836814
448,-981731
449,849975
450,-421120
451,-626498
452,557743
453,-415620
454,-260198
455,540837
456,-661003
457,-151871
458,-957080
459,-700190
460,94687
461,83867
462,25884
463,786468
464,822570
465,-651896
466,-463891
467,225998
468,-139171
469,-306869
470,244958
471,-60405
472,99466
473,629664
474,-15166
475,-601040
476,269697
477,25379
478,222236
479,-983090
480,722852
481,-934668
482,893531
483,674856
484,148035
485,827281
486,-925975
487,-444163
488,303784
489,-724583
490,380196
491,-728457
492,117548
493,-467745
494,600142
495,87672
496,487907
497,395201
498,582004
499,-471303
500,543306
501,269041
502,33436
503,453618
504,858574
505,-447873
506,-505931
507,795021
508,985403
509,645661
510,-105545
511,-66664
512,-859722
513,-871874
514,295083
515,904556
516,8231
517,183144
518,-462126
519,-494062
520,-610269
521,-403533
522,134611
523,-459309
524,623353
525,-134883
526,-310568
527,316220
528,-82081
529,985341
530,663839
531,52968
532,-143155
533,-878468
534,296806
535,-528529
536,-852367
537,-357878
538,-4119
539,713147
540,-295519
541,-140776
542,-108317
543,-336880
544,47418
545,87178
546,163790
547,228431
548,-815295
549,-391678
550,-475975
551,-165558
552,-813486
553,525097
554,293949
555,-889585
556,868586
557,-36528
558,478015
559,-634909
560,727316
561,-96717
562,743856
563,79375
564,-51382
565,458640
566,-18726
567,461479
568,-469660
569,448631
570,26741
571,-44336
572,-433419
573,380470
574,74907
575,-982369
576,209479
577,562953
578,-6968
579,-705661
580,331603
581,545110
582,-41843
583,836464
584,-802314
585,943645
586,-66451
587,-787970
588,829853
589,818497
590,612696
591,-176088
592,-546952
593,-472856
594,192614
595,-601812
596,-302611
597,13055
598,160309
599,-531007
600,-904159
601,59511
602,-833558
603,772512
604,-789770
605,200035
606,81684
607,552553
608,760192
609,121274
610,115705
611,-1105
612,-465622
613,-348930
614,-98637
615,-227588
616,-869348
617,674537
618,-36059
619,-276
620,380496
621,-839152
622,-471884
623,514249
624,-280679
625,-356196
626,-124755
627,218907
628,357461
629,662392
630,318265
631,642251
632,458364
633,168051
634,-317844
635,-874295
636,-780409
637,-456160
638,-515727
639,375806
640,98779
641,-750370
642,837076
643,467524
644,663501
645,418338
646,520461
647,-138340
648,-163182
649,850398
650,148620
651,684635
652,-294556
653,902199
654,827160
655,851869
656,-718582
657,44925
658,-341115
659,-60740
660,-72254
661,-8455
662,759796
663,16258
664,691489
665,-435866
666,897332
667,-73423
668,809217
669,14626
670,-976919
671,35989
672,452899
673,778812
674,517598
675,573991
676,339208
677,-73865
678,188784
679,-806537
680,318722
681,867074
682,587148
683,-881442
684,-978347
685,881733
686,101292
687,975459
688,496597
689,-5508
690,934638
691,-28563
692,-328027
693,502203
694,-96774
695,762544
696,-809116
697,585261
698,608300
699,912596
700,201420
701,-518751
702,518759
703,-634229
704,725630
705,616285
706,874512
707,530175
708,793402
709,197027
710,816946
711,-606770
712,54954
713,-996386
714,-91106
715,-910532
716,266102
717,328990
718,-561896
719,759785
720,-483851
721,-953775
722,217319
723,391766
724,-661369
725,687325
726,-861404
727,-257391
728,23855
729,-549482
730,314722
731,491691
732,-281609
733,-69926
734,-312517
735,-51567
736,570224
737,370812
738,-280504
739,-744219
740,-648142
741,-406398
742,595810
743,-338072
744,487846
745,-479517
746,135413
747,-528758
748,736329
749,-25609
750,296077
751,-576886
752,112520
753,-856318
754,994079
755,-229164
756,-71098
757,-586708
758,271536
759,767930
760,-229681
761,616533
762,-437386
763,531847
764,-848422
765,-717034
766,146999
767,-626979
768,-802190
769,6386
770,-278671
771,-224971
772,-375056
773,-718730
774,413153
775,-320889
776,-283908
777,-316899
778,-273162
779,-486158
780,579546
781,-335923
782,604823
783,27958
784,265728
785,714025
786,875639
787,-933404
788,-1477
789,471632
790,388801
791,443519
792,184557
793,-686310
794,-718120
795,-400660
796,-420948
797,925697
798,-633985
799,931557
800,412269
801,295126
802,286065
803,-32862
804,610503
805,240122
806,-766575
807,-460248
808,22730
809,-923639
810,-804557
811,-361796
812,-187414
813,-931728
814,-230457
815,-885176
816,-363088
817,963837
818,-792646
819,346085
820,954696
821,-224408
822,-435873
823,-473187
824,-905333
825,-78953
826,-59103
827,-19799
828,612402
829,-131832
830,-919151
831,883760
832,880117
833,101516
834,-754442
835,-990531
836,670396
837,280227
838,-602725
839,542083
840,-459416
841,-634697
842,891251
843,-124014
844,-523759
845,-597683
846,974646
847,-165224
848,-55525
849,894778
850,273913
851,603723
852,567313
853,-210509
854,101686
855,-398591
856,397625
857,-721016
858,505637
859,976214
860,309990
861,144721
862,245228
863,979769
864,-227070
865,-549432
866,986432
867,-520866
868,-121280
869,-991810
870,-40030
871,-634981
872,876389
873,561201
874,-765649
875,761875
876,867130
877,2287
878,-964561
879,-91134
880,122697
881,890378
882,250096
883,79954
884,-83592
885,921148
886,-807502
887,-671864
888,513641
889,355644
890,278874
891,428317
892,395535
893,800825
894,755544
895,-978198
896,-586101
897,-702283
898,-273656
899,-165046
900,250404
901,-610133
902,250043
903,-75152
904,-299493
905,878097
906,933512
907,-752306
908,17704
909,-199990
910,-728633
911,-237224
912,-799093
913,936880
914,-321439
915,-297704
916,400500
917,-259681
918,246455
919,-822679
920,172172
921,-972390
922,-680730
923,-90470
924,-240749
925,961391
926,-951013
927,951831
928,-517798
929,-643365
930,-728049
931,-839567
932,610245
933,-41706
934,94028
935,165943
936,-733171
937,-35854
938,-200783
939,-345999
940,438511
941,-208166
942,496597
943,-726859
944,-344398
945,-764619
946,-914221
947,-768620
948,515570
949,-118630
950,19503
951,882238
952,-933974
953,-319505
954,812156
955,853009
956,-989068
957,220800
958,547823
959,327747
960,-69099
961,868548
962,-355368
963,-388589
964,290480
965,-39498
966,-304920
967,-698290
968,-895580
969,-68802
970,-950391
971,254977
972,493452
973,596628
974,-183862
975,125720
976,362022
977,417009
978,-469012
979,657084
980,475060
981,207656
982,-562164
983,-325511
984,640126
985,-137911
986,-955139
987,-670017
988,783732
989,-227940
990,-713155
991,652385
992,191553
993,-625290
994,-657072
995,-832482
996,-80849
997,-809188
998,-335297
999,-916813
1000,941115
