ID,i
940,-631792
941,-883633
942,-78522
943,-631294
944,400188
945,-433965
946,-338453
947,-200303
948,-326844
949,613421
950,774418
951,-459201
952,-198996
953,-775368
954,-288559
955,927207
956,-263689
957,-117066
958,613770
959,579658
960,-194434
961,584166
962,-679545
963,518662
964,-430973
965,411257
966,40136
967,205456
968,-669054
969,-922899
970,503110
971,494203
972,864480
973,102219
974,616555
975,-379707
976,-111788
977,584523
978,993362
979,-993493
980,-335026
981,354986
982,762430
983,-195755
984,840325
985,64361
986,93256
987,590606
988,-500957
989,474339
990,-582099
991,202388
992,108713
993,-930942
994,732963
995,-895976
996,-498188
997,-401464
998,-871933
999,-963426
1000,-850273
