ID,n,y
171,208089,-152103
172,636487,-437615
173,-880905,221867
174,921319,-176596
175,983434,629949
176,837234,-748710
177,811481,43793
178,619453,-935838
179,739523,-359212
180,-66658,115295
181,352364,-884779
182,-100953,-849525
183,468607,301960
184,786051,-106369
185,637828,-373996
186,189194,149946
187,-9895,233567
188,747159,-418876
189,-529466,274787
190,980824,266077
191,-932342,202837
192,-17475,-249060
193,-425919,-723671
194,-833006,-823765
195,-143993,912132
196,156917,389181
197,954234,-739065
198,-614520,368068
199,-81774,-971152
200,605479,707573
201,-357921,865235
202,413240,-444260
203,976572,-466199
204,30193,440890
205,-133326,-696469
206,139799,608842
207,-185684,267532
208,-293510,547566
209,133997,815165
210,738378,477983
211,-532404,-341634
212,905833,-62390
213,229088,960090
214,891634,-155990
215,955653,924576
216,-803379,822865
217,-74781,-113790
218,818950,669011
219,768359,289535
220,-159680,979984
221,406725,-578310
222,588112,228797
223,480064,-948673
224,-260680,-849181
225,951544,298948
226,140139,-595284
227,502883,811846
228,-639475,251947
229,-261335,-981535
230,544479,-45489
231,-543353,414938
232,897711,359065
233,388812,-916032
234,504388,-147078
235,564231,-442647
236,-966284,-616709
237,-740001,-270184
238,-653225,-141477
239,-267248,-629237
240,-275338,783140
241,366970,786666
242,350894,-402277
243,-46128,44546
244,-157256,847915
245,338558,802705
246,-332856,275809
247,388718,-114093
248,997919,783982
249,-980649,919441
250,738972,363909
251,341616,333930
252,570140,36808
253,-459264,-500956
254,396768,4870
255,419703,-994198
256,-774483,-770421
257,-965115,-681915
258,989486,-558200
259,-70118,-828815
260,646169,-944816
261,-792844,94922
262,757387,-710971
263,319204,-455844
264,864321,293525
265,428831,-721485
266,40218,697392
267,327526,352751
268,-55514,-964100
269,-126732,-890497
270,760762,638291
271,427235,971747
272,22286,265589
273,-221721,-765325
274,257626,-77339
275,-562670,-375025
276,255812,-344891
277,-423932,-780746
278,-560113,842508
279,898389,244616
280,695495,728686
281,132079,-265769
282,-112403,-795080
283,54549,417771
284,-577368,-645207
285,629950,-610701
286,751463,-527645
287,611345,626687
288,-467263,-610115
289,-614935,8532
290,-315122,640565
291,142907,189163
292,-422075,-702504
293,-402632,-363984
294,262607,777438
295,-359432,270844
296,-570906,875493
297,-598254,159952
298,223637,-101136
299,-836313,-579216
300,235739,636853
301,798044,7379
302,812488,196059
303,-625652,-511852
304,-815890,258486
305,-542921,-45474
306,-255723,-506816
307,374716,570180
308,936311,356149
309,-921890,81434
310,-256005,-68721
311,322071,556297
312,-961809,215700
313,667204,815653
314,-448135,725270
315,396460,-187516
316,902062,-668497
317,-511973,845962
318,32033,-535700
319,834419,-272105
320,-214832,-833746
321,-508110,-101861
322,-693604,252268
323,782235,830753
324,627618,-649754
325,-76000,-721425
326,962304,432013
327,358969,-504220
328,282881,-26964
329,401541,-369371
330,-438547,109875
331,574156,29567
332,-263047,-690472
333,616883,115208
334,-711942,-676254
335,-627956,-342872
336,-534268,-326625
337,-117099,844162
338,136001,190758
339,-888517,726638
340,70917,249038
341,-368008,874068
342,933247,-812139
343,-521675,236221
344,118310,-227778
345,-740557,-514437
346,-768696,26954
347,55618,572082
348,-192784,460061
349,-984200,-725286
350,-792485,104540
351,936623,75002
352,475622,265971
353,742860,-181876
354,818399,-808314
355,-406412,555118
356,-571464,-41633
357,204169,62332
358,-235762,340505
359,375131,196098
360,874776,604165
361,237896,455933
362,19086,54561
363,161457,310116
364,-143075,-324049
365,251290,144171
366,-673046,496431
367,138768,-481892
368,987740,402254
369,803701,-29822
370,-456320,944059
371,-218209,-951710
372,950788,413509
373,-146063,911999
374,-318601,-407966
375,-594369,-702720
376,358167,11377
377,-973261,-282866
378,-864143,617667
379,-562835,-890517
380,-7317,812862
381,-459371,-355060
382,297420,306982
383,748248,31306
384,111511,279836
385,-450677,64056
386,838371,454063
387,625569,-92574
388,104155,837961
389,-713518,528013
390,262578,660149
391,617101,-237558
392,486503,-592509
393,-378539,4559
394,46649,80370
395,794233,508486
396,57043,655263
397,-627528,581294
398,936189,-459728
399,77220,-79489
400,-5417,-241800
401,796980,184192
402,-794062,772056
403,-231456,-128000
404,782840,-715994
405,-288112,-331093
406,-945004,229557
407,677076,260326
408,-19226,492186
409,-344897,-271392
410,-660999,792569
411,-276046,-835545
412,499975,-597891
413,406506,-511313
414,911621,803469
415,-981793,904823
416,-673369,177626
417,746653,-261272
418,26296,861593
419,429296,973794
420,84317,-77966
421,-952475,566826
422,-951941,640893
423,350707,-616976
424,-447092,-868777
425,-775599,-935775
426,-695429,-583186
427,666959,784425
428,869716,503636
429,-363568,-284540
430,628435,672568
431,-385519,-346132
432,-304800,547090
433,712448,83143
434,-531551,907065
435,515203,-615590
436,283755,366446
437,-937521,378535
438,29417,-595334
439,797556,-355369
440,-225303,-462460
441,946753,344263
442,305727,969408
443,104562,-825203
444,544452,-946632
445,208335,833536
446,-894219,-578303
447,837287,815168
448,859945,-299676
449,-422748,212542
450,-662037,846940
451,564362,-910944
452,859063,813823
453,-30660,-451612
454,308035,-593316
455,971790,907930
456,-129304,-969216
457,-287336,555520
458,-310481,-362208
459,983720,-260039
460,-342628,-457696
461,-950046,775360
462,-682673,-103325
463,-855148,-891902
464,-324919,921181
465,282745,320304
466,873981,-164612
467,567900,676339
468,916324,-367060
469,828500,-639124
470,-445834,-943670
471,-519655,-631997
472,-629824,708738
473,75354,86704
474,-466357,470863
475,-620628,-131088
476,-450253,150081
477,-918473,648589
478,438658,469744
479,-232214,734051
480,769235,-235014
481,-788893,942087
482,1198,-200142
483,227492,993245
484,-730989,-315454
485,800274,-77056
486,-695008,-484540
487,-140765,590144
488,974226,-799063
489,720210,-261816
490,368580,-75405
491,-49718,429225
492,-978131,912791
493,-300335,-994283
494,490243,-699764
495,-344752,688558
496,-580301,915959
497,830483,474918
498,-112483,505287
499,826325,-566331
500,512103,-969683
501,340374,421604
502,678146,74692
503,76193,824625
504,-956640,332224
505,93426,935638
506,-40033,25611
507,199732,607473
508,-718871,-255688
509,-351343,184739
510,-36840,-575745
511,-496794,-932783
512,497919,-159834
513,-237575,-788844
514,-398053,-668645
515,347407,43711
516,455907,384439
517,-75752,-813165
518,-838415,-458724
519,-682622,-300052
520,-163091,620511
521,-990566,656750
522,-904895,-49151
523,-377714,-935077
524,907092,455111
525,-914628,-299622
526,-610007,696292
527,684565,-861630
528,-547552,127185
529,661518,341055
530,790294,-375742
531,41778,-963074
532,23161,-746016
533,-497268,-813218
534,-70124,379260
535,699010,429671
536,318488,381374
537,44040,-122359
538,-849429,746893
539,489084,625422
540,317520,-937428
541,817347,-922265
542,-208674,-665362
543,-942942,-262425
544,-824843,-550110
545,561202,-994334
546,435954,180061
547,131843,-449385
548,-577583,536644
549,-890738,-73845
550,113410,-819708
551,925269,805504
552,630198,956178
553,-408510,424719
554,-336565,286143
555,-889236,513499
556,-213679,-896565
557,376708,-157610
558,-346516,-33442
559,-563200,-921095
560,-87995,563264
561,-908152,-241172
562,-263112,-431394
563,-794396,452735
564,-583710,860526
565,35870,-347660
566,-401356,-289962
567,-460520,614169
568,-315875,821783
569,-444785,-614595
570,-511241,-662054
571,-42731,-658367
572,793601,225334
573,548832,-950510
574,655402,123741
575,-518074,-435758
576,852490,69737
577,301889,-832209
578,-604129,414090
579,-816596,440229
580,-809853,612480
581,-412090,544406
582,316104,-577487
583,304668,-996888
584,28131,-591876
585,539500,898946
586,224805,-607641
587,386305,538219
588,-776682,60636
589,-23177,-887730
590,76643,288580
591,656633,-914507
592,737110,421077
593,221435,-51986
594,982879,-569272
595,253,-310495
596,-74702,657644
597,-280198,958691
598,-354674,-727121
599,-857955,-233213
600,565391,-473212
601,120,19642
602,559968,535527
603,-295032,924482
604,-911009,-937235
605,182581,6219
606,436424,-503404
607,-298478,-442580
608,115878,-372922
609,-212357,941724
610,-950114,-780925
611,-229185,-209717
612,20019,-478871
613,235403,506990
614,-192178,434690
615,-462389,296230
616,745849,917330
617,-265085,-170001
618,-986688,-702995
619,-598597,-112674
620,240046,729997
621,435413,-293702
622,-470304,487608
623,-764549,600101
624,772060,-700637
625,-522117,-505028
626,545551,212206
627,239207,-173174
628,262960,355268
629,377179,-256203
630,611656,-570238
631,967948,280779
632,-535931,771889
633,82346,-647701
634,906077,65853
635,-117860,-35842
636,-125651,613387
637,-231397,674656
638,-581809,464477
639,-897360,-895949
640,297671,-879720
641,-345261,-106552
642,699249,424510
643,-829272,966871
644,811903,413131
645,484567,505972
646,707185,-406012
647,462645,70613
648,-521014,147365
649,-105523,162640
650,-21563,857847
651,641901,606269
652,443676,72546
653,-195395,515278
654,-492683,-795178
655,-274948,-491262
656,438305,-865746
657,-727060,-81512
658,223932,583279
659,-409948,-544227
660,217719,146278
661,474857,-583292
662,115714,952426
663,919872,991990
664,346629,578397
665,490599,340103
666,47459,195863
667,-883046,468053
668,-204926,151966
669,-112470,-228021
670,974918,779885
671,92954,-787859
672,637855,219131
673,684860,-20127
674,686366,-984709
675,-113790,977453
676,455328,-289676
677,682697,958719
678,-874927,687744
679,-774997,135643
680,-701631,-355367
681,950186,485777
682,828615,-144703
683,330795,122661
684,-548114,28311
685,-162494,243565
686,-986069,356742
687,-283579,711468
688,-752832,483854
689,-995733,-976774
690,-31881,-563161
691,988862,923034
692,963441,-201217
693,-665849,58659
694,-573434,-642446
695,674284,702612
696,649531,9772
697,128787,698671
698,652595,424369
699,-167570,851119
700,-72767,230569
701,-517331,-20626
702,387917,-142289
703,-828924,174497
704,456470,-575550
705,204418,-811192
706,460643,-110600
707,103139,-333824
708,-978321,151300
709,760151,520072
710,709986,-723559
711,-128315,-86496
712,475547,-351370
713,254270,783928
714,-669969,-507680
715,-79025,-565060
716,-696829,534058
717,-900177,963149
718,287840,722384
719,-842016,31711
720,-659097,-105074
721,102216,952488
722,866685,-43801
723,522880,-742585
724,76282,2162
725,-851931,-362890
726,-821634,40540
727,-442464,622780
728,201349,49936
729,612482,351653
730,-517857,301761
731,119066,-408495
732,-281038,-892937
733,395882,428076
734,-347903,-966283
735,167418,963012
736,466215,-925232
737,-61236,-608958
738,-737324,-235494
739,-379616,598478
740,-520841,571817
741,-405966,345594
742,177369,-58690
743,912106,247599
744,270696,708246
745,-852027,925408
746,-385703,537114
747,-679010,-711362
748,-105239,-356622
749,-311231,364590
750,400131,-925724
751,350970,-615880
752,731820,234813
753,-688297,-803304
754,-29790,-526100
755,603536,-192025
756,333399,584871
757,-112290,623721
758,238811,60675
759,658057,-435131
760,-636303,464875
761,-376872,476358
762,583657,-967638
763,-367703,-271433
764,678361,-365357
765,14322,571448
766,-963364,-576807
767,-434678,271945
768,592295,893166
769,-618974,-247131
770,-268811,848285
771,152683,-857654
772,246710,-987797
773,-793365,-536444
774,693050,-80396
775,-802099,534803
776,-746880,-518244
777,-307215,-697527
778,291582,241790
779,-408095,-763513
780,-616815,68030
781,875782,813137
782,-551523,867783
783,755987,-848213
784,-709240,-257563
785,-382005,284905
786,-109495,72240
787,-220822,-7504
788,103854,-276990
789,-222500,273541
790,-457349,-629121
791,323369,-664450
792,747633,373519
793,688198,962315
794,945797,804376
795,-309410,-907279
796,-24533,79700
797,-258376,-275714
798,837631,720917
799,197203,420926
800,-649812,421592
801,-743345,-236446
802,178324,236367
803,-939224,14686
804,-780345,439860
805,837179,-972614
806,-297614,-482108
807,-5637,48106
808,39289,358963
809,160396,-185568
810,-383606,-85848
811,-420792,417996
812,219107,-286903
813,370937,-700461
814,-300459,-465831
815,365280,27258
816,911047,587850
817,479552,242835
818,-262051,-589392
819,349380,217915
820,633966,-250434
821,241841,497168
822,-602982,956895
823,705921,898938
824,120500,222470
825,311509,-238521
826,-824454,-428214
827,510534,-86702
828,371372,799263
829,-786615,-135149
830,-6606,573804
831,180583,-965855
832,-303708,604494
833,882722,61027
834,189710,-102431
835,-236081,-487525
836,804349,-686502
837,-344054,797172
838,188684,-478365
839,892351,-846698
840,231538,527320
841,448721,773502
842,-122823,508123
843,453535,935238
844,624418,81627
845,597858,627318
846,-148631,-39579
847,-12501,700860
848,907927,380082
849,-673911,987093
850,-405347,719669
851,942543,-496951
852,-726039,-512457
853,-454091,566848
854,198122,685922
855,742623,-173181
856,-52578,-905491
857,-927437,868525
858,-573615,923622
859,-526018,809027
860,-541108,-790621
861,-637828,-550019
862,-540018,393488
863,633397,567555
864,-597378,783523
865,694410,-988402
866,-304105,-877629
867,847522,-454748
868,-116282,517068
869,-648716,608655
870,497534,-632904
871,-414606,-935399
872,792690,-549860
873,855239,215281
874,-503409,901843
875,20880,-336783
876,-686557,-563527
877,-47105,-969869
878,-70525,664275
879,-503501,-334979
880,153361,-337571
881,884356,850202
882,893526,621767
883,-42722,-408003
884,997012,-656314
885,-787125,901371
886,981663,-985220
887,151579,265645
888,506055,943112
889,623173,867213
890,-844821,-580444
891,468195,856124
892,-737541,-76253
893,502551,-217543
894,-619096,-243533
895,583339,7562
896,216856,541151
897,943425,339138
898,4807,614605
899,684486,130448
900,217138,-144827
901,604204,988821
902,615990,-254931
903,51863,999321
904,-455148,-251274
905,958675,85482
906,-914355,724369
907,286418,816522
908,874329,273590
909,109134,452752
910,-300441,572094
911,466045,-467481
912,-789093,213486
913,-824053,-838239
914,788470,102797
915,-363019,-760477
916,29507,273937
917,225509,823349
918,-229222,551382
919,687653,-729216
920,-111179,586632
921,-294613,270551
922,360608,782268
923,925289,202339
924,-545784,594368
925,968238,-696188
926,-723933,109534
927,575548,-92689
928,590474,-375984
929,-285073,343293
930,-495850,517745
931,173096,-942587
932,-721399,400937
933,222308,922107
934,-226898,328277
935,807653,658198
936,336680,-585390
937,24750,541885
938,395050,431773
939,-85862,-808840
940,928734,-336075
941,-399556,-797855
942,-104087,-733898
943,-530753,-506750
944,475606,-138045
945,-849477,-250429
946,-367679,-382860
947,934579,-412365
948,493046,623523
949,-217925,810142
950,-212954,-663658
951,-769819,498668
952,-388205,413969
953,168720,819024
954,364659,254845
955,961277,448129
956,-766650,-423841
957,481393,-761185
958,450063,652154
959,-656455,-40512
960,906399,420057
961,-975418,689392
962,-470558,614291
963,-376715,-455959
964,557507,755352
965,-538439,302077
966,-740757,-168608
967,-59249,332800
968,-898273,-669442
969,-902448,-201854
970,-458053,-634782
971,759916,-314743
972,437101,833232
973,-967072,-379277
974,-403466,627400
975,262328,-833110
976,-2331,-129381
977,181672,-338866
978,68523,-354445
979,872750,727216
980,204221,-334620
981,995184,-963093
982,-84054,502018
983,-91656,-913813
984,-307708,589877
985,957791,466993
986,-944439,373594
987,-618207,54727
988,575843,577610
989,-801268,427825
990,852347,-984292
991,-868951,-857404
992,-132763,-61766
993,147731,-747144
994,280321,113160
995,757328,-990022
996,813636,-515554
997,-370262,-847946
998,-42697,421013
999,-516277,-944956
1000,930560,-508612
