ID,i,x
166,-1933600,-8543981
167,-9943358,-3419091
168,-8512933,-5336499
169,-6254725,1091814
170,-9242648,9091201
171,-8103042,7751151
172,-4645261,-973169
173,-3167363,7305945
174,-9795788,-5190688
175,-823425,-6331968
176,-9649040,-9621525
177,-1717220,-3952581
178,-8487996,-2626821
179,-8318555,-1876649
180,-7412337,-9837951
181,-3095412,-606237
182,-5011439,4296301
183,-1297968,-402737
184,-6823444,1607639
185,-6294088,6064850
186,-402133,7590858
187,-9479426,-6678617
188,-5258039,-2675667
189,-8130837,-2461670
190,-3685007,4027755
191,-4762233,4756212
192,-2776116,-7837805
193,-6365292,3458740
194,-6525285,8054275
195,-7895002,-6359768
196,-8439264,-1545332
197,-4673864,1065256
198,-5070289,-4485883
199,-3837170,-8871238
200,-2790535,-6872644
201,-2047551,-7150671
202,-2355948,4930987
203,-1829378,-3267459
204,-9025640,8934974
205,-2553886,-8982565
206,-2855213,2170976
207,-1307362,-6542823
208,-7399403,7260797
209,-8605911,-738153
210,-2584760,-4266624
211,-6058544,-2701853
212,-9706217,-9646920
213,-1648407,-793133
214,-1686913,6541113
215,-8611171,-596208
216,-1398029,5415062
217,-2794663,-5244826
218,-8588748,-1119571
219,-7851416,-2523193
220,-703185,5475520
221,-6739232,3697591
222,-2274577,61306
223,-6928698,-256292
224,-2339517,8172244
225,-6744161,8684615
226,-1143375,-9085685
227,-3096723,-7060669
228,-4816298,1009317
229,-1251969,6271171
230,-8884943,-3545891
231,-2859135,-8054786
232,-4338038,1189535
233,-4960852,-851917
234,-9076751,-8772575
235,-7159092,-3876502
236,-2495809,2317581
237,-7494115,-2489611
238,-8967922,-9445756
239,-1942308,-7467347
240,-3125752,7415628
241,-6032685,-4424759
242,-747590,-2952965
243,-5842653,-6675078
244,-953263,-4820317
245,-7190442,133663
246,-1107361,2093303
247,-5037235,-3845390
248,-3259557,4551637
249,-9645227,5094813
250,-5693430,-8682788
251,-4709587,3111016
252,-4466661,-1604492
253,-9561493,4725116
254,-462190,9611664
255,-4413329,7338057
256,-7015836,-4562279
257,-1488952,-2667919
258,-1778048,-7385810
259,-8814956,-9867877
260,-5559060,-7597488
261,-4008852,-1501564
262,-5565757,-9632684
263,-6000005,8286603
264,-3906292,-9896112
265,-600750,6301606
266,-4515379,4440371
267,-4991426,1099302
268,-6109305,-6942252
269,-3708321,6943100
270,-1009832,9263945
271,-8110810,-3811861
272,-8037996,-1597215
273,-4310476,-2513240
274,-7880997,-1279733
275,-7459368,-1156088
276,-5706056,-9031153
277,-1521551,736387
278,-2124379,4216115
279,-2089591,1678800
280,-5727592,-5230848
281,-2900953,-4078257
282,-9013962,-2007581
283,-1664868,8899156
284,-9094228,1737834
285,-9369705,8061245
286,-602018,-7396075
287,-8682647,4771109
288,-574007,-1744585
289,-172149,-2080090
290,-1314864,6506219
291,-7916019,9825875
292,-6211957,6051672
293,-8104575,3357595
294,-1622860,-668247
295,-2828959,2260769
296,-3633986,-6744497
297,-6861375,-4545995
298,-7659188,4405359
299,-7990738,9316353
300,-9049664,-8234077
301,-1853139,7391083
302,-802615,6955246
303,-8388815,9150074
304,-518645,-7289790
305,-5426347,623527
306,-7399892,2431209
307,-2925356,5710798
308,-5983866,5953498
309,-8945306,2134201
310,-2573608,7931732
311,-1803756,4716025
312,-6442367,9346300
313,-4440066,-9642972
314,-3040183,-3829239
315,-9282855,9827714
316,-9399237,8276499
317,-7882962,-7688712
318,-2807279,-7400217
319,-7985132,-7910745
320,-9277112,6619750
321,-1245139,-1263924
322,-8618114,-9468246
323,-5283802,8956079
324,-2988741,4034278
325,-2777215,2762785
326,-8366052,4726953
327,-7191964,-948473
328,-2522908,9217719
329,-9170485,-9922206
330,-5289880,4205544
331,-8512097,-5345079
332,-258356,7662124
333,-2257334,-5527401
334,-4904981,8823263
335,-5626041,3025258
336,-2611969,2156366
337,-3715697,-5410030
338,-552513,5290396
339,-6296001,3532395
340,-3577123,7451026
341,-6320157,4271821
342,-6335578,-4037457
343,-2101412,-5654129
344,-7352085,3714233
345,-315999,-8750895
346,-1380805,-6870497
347,-5187343,-4297082
348,-4107778,-1892618
349,-5678716,3239409
350,-1213945,7084235
351,-7837525,3033973
352,-9765040,-5407758
353,-4709145,-9422387
354,-9431733,-1464114
355,-1074358,-7607170
356,-2120141,1446793
357,-8378479,9068309
358,-5432442,-9999716
359,-6152062,-9097588
360,-2027320,1395858
361,-4939057,-2080823
362,-9759886,9508918
363,-6817247,-986667
364,-1282684,-7430343
365,-3409909,2979418
366,-4909527,-474384
367,-5784877,-8173385
368,-7936284,322055
369,-4768381,9599491
370,-6375711,-4717467
371,-4076883,-9107814
372,-437161,8940837
373,-3324255,-7614245
374,-6834851,-1387655
375,-7977635,8431118
376,-2698477,-432572
377,-5244113,-5125559
378,-936085,-8146463
379,-5889082,-7994627
380,-2937811,5804845
381,-2401242,-4655220
382,-4905934,6256238
383,-4351067,8988266
384,-2098686,-7247345
385,-2365342,-9264216
386,-5019335,1474126
387,-4681199,3775340
388,-8642269,-6279315
389,-9624493,-117916
390,-6560683,-2560217
391,-1918677,911148
392,-4662717,-5986547
393,-2850847,-2185878
394,-7689652,-4595826
395,-383196,7360936
396,-9699483,-5805012
397,-1799181,-8508491
398,-8208927,-848870
399,-8817393,-3051585
400,-1652251,-3788717
401,-7273123,1672432
402,-8499280,-92098
403,-239931,-612815
404,-7604412,-5020592
405,-7375214,-8633957
406,-744378,5055494
407,-1996545,8527493
408,-4444168,-5497504
409,-1021001,9775164
410,-618656,8389092
411,-6280404,4928437
412,-700393,-6442469
413,-3387660,-6614933
414,-573739,2728785
415,-5398248,-5863394
416,-2894809,1046877
417,-1169052,7817258
418,-1048618,6395843
419,-6031824,-4822773
420,-4522584,4287629
421,-8152058,-3648040
422,-6619033,2205751
423,-666921,-3179410
424,-1873980,-8620910
425,-7178864,-6953937
426,-734755,9587173
427,-3822489,-3355756
428,-9291676,312016
429,-2734672,9755466
430,-4824302,2812637
431,-1014103,723305
432,-4058897,-7345302
433,-2807486,-8822966
434,-2031058,-3106104
435,-9469385,-3049130
436,-1878137,6472556
437,-5708102,4232104
438,-319720,8676878
439,-1994633,-5199087
440,-6073982,-7588884
441,-5082718,7539623
442,-4239221,4722672
443,-9074130,-5476221
444,-1341209,5633861
445,-1411961,-9086073
446,-8986049,3805120
447,-958474,6435325
448,-4072672,7884837
449,-5641553,-7677100
450,-5948588,6077840
451,-1254918,8949377
452,-2607088,3682977
453,-3341047,8787527
454,-6235240,6734950
455,-2884606,2070280
456,-5671917,720778
457,-2692750,4711234
458,-3009903,-4890798
459,-1191000,-3049752
460,-2940938,-4776036
461,-3861113,-1656349
462,-7565272,-3983197
463,-4311619,-1710307
464,-4529859,6998906
465,-2160435,-3467617
466,-1434844,-6443802
467,-3866584,955579
468,-9943915,-7137581
469,-5458264,-236273
470,-4045863,7449070
471,-3297988,-413283
472,-2869174,6754530
473,-4890900,-1107330
474,-8203913,1772690
475,-5255122,-7523966
476,-6274175,-8774237
477,-3186832,-2424939
478,-2418380,-1499611
479,-1794697,7667414
480,-7561690,-8523479
481,-2427759,8702120
482,-5554325,-5708568
483,-7373336,5131881
484,-9306184,-818620
485,-2086567,-4477150
486,-5827103,8330336
487,-2523021,-6147613
488,-8744829,-855985
489,-6567005,7172523
490,-5861957,-3241133
491,-5248120,6503700
492,-2536864,3009423
493,-8032763,3197311
494,-8323725,-6462240
495,-7747862,8699999
496,-943507,-3039470
497,-2525491,7419836
498,-614784,-5195278
499,-9640012,-8285250
500,-1503689,-5853206
501,-9077901,-3554322
502,-2033298,-3838827
503,-1672907,7881696
504,-5424005,-9143683
505,-4080801,-8221368
506,-3226524,5669990
507,-3937349,-8112921
508,-310331,-8683087
509,-3718366,8282398
510,-357727,-2039680
511,-276246,7033926
512,-1081245,2638931
513,-21530,8785125
514,-2367995,-7804591
515,-4637395,2746645
516,-2812959,5813317
517,-4226527,-9722327
518,-6489539,-2433342
519,-8815696,-5056293
520,-8008526,-1783434
521,-7033671,-2092179
522,-2143139,711367
523,-8539198,-1420595
524,-7724328,2662571
525,-3153642,-9144465
526,-9037184,-7629177
527,-7700772,5040371
528,-2793961,5096993
529,-3891514,-4874931
530,-6983940,-8589054
531,-5504165,1618073
532,-5606146,-2769910
533,-6075952,841838
534,-307714,3597452
535,-2102565,4077954
536,-11835,6851453
537,-4187859,3073199
538,-6691545,-8971583
539,-3740861,-5732752
540,-6794738,2390430
541,-8146450,9339331
542,-4459961,2843204
543,-4887483,-7658216
544,-8329584,8459550
545,-4356690,4320777
546,-6058268,-7616419
547,-6962048,4798352
548,-6805021,7652200
549,-3417071,-8513138
550,-2965435,-1920148
551,-3653159,6711929
552,-7746155,8732910
553,-8710988,7155345
554,-8939581,6357543
555,-7631534,8731144
556,-6921172,-3973349
557,-9050725,-9225462
558,-1648093,7130935
559,-8562748,6069400
560,-7068092,-6923473
561,-682560,560623
562,-8290877,-5718079
563,-4318304,396080
564,-6393608,-5842173
565,-7271112,1989875
566,-6518687,9704101
567,-9660581,-2972475
568,-2948254,9080692
569,-748545,-6543189
570,-5112807,-6762201
571,-6366536,-8514905
572,-2188052,9022678
573,-9485813,1442013
574,-3278891,-3931589
575,-2263924,-7163871
576,-6753729,-1228720
577,-5887841,9820809
578,-2484899,-1220086
579,-8037446,-7659982
580,-775904,1008784
581,-2433849,-3656577
582,-2244041,4932992
583,-3630179,9704906
584,-4117751,-8309094
585,-3727754,9814710
586,-8003246,-9564868
587,-3584546,2200399
588,-9250587,-5296740
589,-4767694,8732066
590,-6232596,-9912739
591,-9886849,-7960046
592,-5608166,69252
593,-6138705,-5514639
594,-4207399,-7049424
595,-2722004,-1931802
596,-3707744,-9300681
597,-8041892,-6318250
598,-2065887,-3019033
599,-4560647,6122078
600,-4570052,-5484740
601,-5016566,4796417
602,-9128911,3031999
603,-3199090,9015885
604,-984277,-4448088
605,-2583711,-1342125
606,-7603888,-8210394
607,-6965017,-4344332
608,-4762319,6468584
609,-5812787,-5604778
610,-7350341,738023
611,-9439843,-7611011
612,-9926689,-9695986
613,-1441191,9901651
614,-4847965,-4920443
615,-1521198,-3262957
616,-2803617,-1161692
617,-6309456,7953248
618,-3148988,-5484182
619,-5382363,4772662
620,-4372652,2822281
621,-8254746,-3443135
622,-9470005,-9700401
623,-4357442,-2917169
624,-8933398,-8595411
625,-2313352,-2761270
626,-98691,-2529007
627,-9948439,7591126
628,-4106224,2826300
629,-8683420,-4099551
630,-215870,8396498
631,-6437975,-9654621
632,-7944454,-2108864
633,-5660622,-9795526
634,-1165613,8108840
635,-3568161,-4018046
636,-855589,-4233629
637,-2436538,-6061589
638,-6999334,4066505
639,-2105248,-4704637
640,-7924015,2599909
641,-5161435,1139728
642,-4530425,-847770
643,-1837705,8522568
644,-4342786,1076032
645,-9174679,-5254995
646,-562211,-3213998
647,-691976,134825
648,-1257810,3585192
649,-1169847,440436
650,-6174401,-3259497
651,-8513734,4810703
652,-1145867,4000286
653,-4860672,-7331748
654,-353083,-7767290
655,-3934639,-6629318
656,-1585226,5903670
657,-5797652,105120
658,-2279782,-5649510
659,-4529209,-5292355
660,-3671895,-5076355
661,-1466480,3109922
662,-5926860,8946608
663,-6200576,6403514
664,-8450153,-8285290
665,-9321015,2903595
666,-2829816,-1742280
667,-6891326,-5338327
668,-8355984,-6202809
669,-8269692,3169151
670,-7749756,8853424
671,-4160870,-7839037
672,-6341814,-6099386
673,-1325594,-8816847
674,-7329758,2884893
675,-1900438,7302366
676,-3460356,-4176740
677,-3529715,2493791
678,-995392,-8404692
679,-115405,-8376473
680,-7704652,-2147936
681,-6193308,1557145
682,-1347801,3669024
683,-4384657,1589051
684,-995226,-3095181
685,-5308809,-3437527
686,-7294627,-4519394
687,-4484715,-4083455
688,-7391170,-5507942
689,-2557464,691865
690,-7610088,4219031
691,-5016165,-2249889
692,-4106231,7796295
693,-5865371,97444
694,-9914499,-3208792
695,-9354957,-2388377
696,-5646635,6729767
697,-3439058,-8286319
698,-8216519,-9385823
699,-1588657,7965721
700,-9483002,2975776
701,-7782126,-60087
702,-1830433,-9928223
703,-5858788,4497832
704,-1727977,-4606596
705,-8527044,1903023
706,-536143,194316
707,-4425194,8571817
708,-888898,8785773
709,-7317391,-9040997
710,-2311964,28783
711,-1467189,-4793554
712,-4159219,-1157734
713,-7073186,-8742932
714,-5666992,5286189
715,-8230972,6301281
716,-1235200,69812
717,-8550656,-8103212
718,-650862,-3056169
719,-1055094,1198948
720,-1989978,-4031982
721,-9776324,9181987
722,-4370581,-1821575
723,-7102772,1594303
724,-8553787,6338583
725,-7892186,1738959
726,-6245524,7390372
727,-5521630,4184393
728,-5313042,4780057
729,-389508,-1584338
730,-6460489,-8499224
731,-4033714,-4196738
732,-4211127,7117214
733,-7372294,-2524099
734,-2662320,-8146256
735,-738993,1850682
736,-904859,-1232971
737,-9476320,5097073
738,-2797389,-5013826
739,-738202,-7360030
740,-3244079,4529715
741,-3796818,-6322186
742,-3005011,7280683
743,-7351996,-9644627
744,-3189644,-3661791
745,-5151327,-8775012
746,-9964328,1913340
747,-8457155,-3208425
748,-6605084,-3442940
749,-7188756,-6833612
750,-7611034,3514874
751,-460785,-9462338
752,-7642178,5761934
753,-8607066,-4094301
754,-339696,8978522
755,-3438259,-3635297
756,-2016957,-1244085
757,-7519901,-5651840
758,-3546492,-2487414
759,-454869,4705252
760,-6486003,-6056500
761,-5140642,7096628
762,-7833486,-2013991
763,-2584618,1959820
764,-2297920,-569732
765,-3354752,-1859689
766,-9158739,-9387885
767,-460827,3828084
768,-9587206,-7293126
769,-4486224,3785588
770,-5959346,8279169
771,-1760655,7776483
772,-6061698,3899511
773,-9860951,9378963
774,-9437176,-7023088
775,-830590,9512829
776,-9349745,7281693
777,-3869420,-8388457
778,-1777942,6119616
779,-9907387,-7238963
780,-9559191,-7693583
781,-3552049,9450999
782,-4586036,-1100277
783,-4417558,484703
784,-9955860,4609133
785,-3365526,-3551062
786,-5338946,-2511520
787,-429315,-3732337
788,-1014383,6628033
789,-9481350,1420672
790,-3378224,-9677883
791,-4850952,450988
792,-3896851,4620900
793,-4651135,-1998078
794,-2023578,-5478051
795,-7507766,-919397
796,-1899447,-4643667
797,-3222525,-1537956
798,-1938693,1901144
799,-8066738,-4702772
800,-2031590,-8266003
801,-4191749,-4248747
802,-2801716,-8041141
803,-8686107,1772295
804,-2239115,-9400166
805,-6898682,9728502
806,-9345705,-1473797
807,-777933,9187244
808,9420217,6263668
809,9979987,3634233
810,-7288604,9607028
811,8333523,-4451037
812,-74108,-5481837
813,-8660385,-9586603
814,-171826,-7708163
815,-1459092,9573176
816,2775912,2270617
817,5609739,171482
818,1600070,-4307780
819,-2373388,5355316
820,2661255,-4871047
821,3804276,-3171693
822,1897788,-3350496
823,5620271,-5479542
824,9843369,-7059759
825,-3958174,-5436993
826,9339637,-5621430
827,-1096643,7168111
828,-9817964,-9910590
829,4724733,-5203093
830,-9653918,-2174288
831,7420405,-5067950
832,2156717,7165531
833,-7212090,3220414
834,24781,-5375436
835,-2812602,3875975
836,892058,-9838437
837,9253063,6361325
838,-342514,-3976672
839,-1724831,2590109
840,303382,-4617909
841,-1327609,-2467374
842,2179230,1534311
843,8773930,-9534589
844,-6120678,-2906370
845,4966365,555634
846,-9795621,6221875
847,2516209,5683340
848,-420792,-3512781
849,-396067,-6462073
850,8212805,8305111
851,-9160024,528078
852,4599916,8284941
853,-2107723,-1862529
854,1296779,6185573
855,4708309,6477862
856,182448,-6113355
857,4801582,7601311
858,-6839051,5054864
859,2790002,9872934
860,2616784,-465772
861,2581018,4967660
862,-387866,8632495
863,-9216066,-1297138
864,-7607177,-352071
865,-2006617,-2469264
866,2578399,-2284626
867,-6743019,3276247
868,-9186860,-2382581
869,7601200,4932248
870,3554479,-6800734
871,5153362,-6264303
872,-3968644,4100185
873,9676802,5646381
874,8278901,-822407
875,-3574558,9788883
876,-7065610,-4844117
877,5084868,5784256
878,2777270,-8248415
879,-3702027,7703392
880,5069943,-3921282
881,7777426,-7744590
882,-1729366,-64996
883,-1549226,-8268888
884,227520,861627
885,8509700,7269933
886,7960262,-8551671
887,-5425314,-6339294
888,-1617343,1487180
889,-746584,8223604
890,9837715,-3532731
891,-5479598,3120076
892,-9215422,4145987
893,-5700721,652376
894,757706,5094623
895,589543,9030786
896,4627911,-6251160
897,-185401,-9905948
898,9264199,5024195
899,9691058,-8991265
900,4522722,-3592652
901,-5413895,6885309
902,-9673628,-1691189
903,7164286,3711944
904,-87503,4119894
905,-569528,6366345
906,4828669,9886800
907,3397208,-175495
908,-4819454,6431083
909,-3293859,-807097
910,1508399,6956158
911,8601023,9254996
912,-5116082,3693612
913,7356260,-2490780
914,-1099594,3797052
915,-6466008,9756826
916,8711001,-7306606
917,2395265,7766832
918,9405,-8054724
919,3767353,-6874871
920,-2687761,-4212135
921,-2429072,-9536145
922,6150226,-8377226
923,8429942,7949689
924,-5880856,6751810
925,-5865840,2703764
926,-2733203,-5156058
927,-8135730,810518
928,-3118687,-3018467
929,3948109,-4360333
930,-9162219,995605
931,-7833655,-3678308
932,-1325103,5699750
933,9882063,-8426437
934,3136042,-1557176
935,5370657,5456184
936,-9163635,8728814
937,5679623,-3372439
938,2506456,-7086381
939,8386341,312888
940,-4219450,-1116277
941,-2825873,-8279308
942,5956764,-129854
943,-7910149,8052423
944,3215888,-4506031
945,-7693119,8223577
946,8615495,2297837
947,3609165,-1905237
948,-6558666,9294243
949,-6755826,5167202
950,-9482019,-3468421
951,-8456978,1710862
952,9839865,94942
953,-6777554,-1891809
954,9964511,8996520
955,-6351901,5618088
956,-4459999,-1883141
957,-2385309,2657801
958,889412,2833821
959,-514755,-3093984
960,-8977699,-9705983
961,-2631611,9605020
962,-311895,-5824978
963,-5982239,-3572560
964,-5519183,8098991
965,257637,-3329958
966,1525173,-622222
967,-4325527,966813
968,-5918101,-2432897
969,3682984,1043906
970,2476601,-8526813
971,-506683,5472460
972,-6682378,8818907
973,-6586024,3047931
974,-3649179,3942835
975,9047297,7558600
976,5050305,-4537115
977,-6494097,8224315
978,3003688,8447115
979,-5920082,-4296761
980,-3473358,-1567907
981,4144179,-4568140
982,-3032577,-1915476
983,759457,7353354
984,-5087940,5607965
985,-8478440,2952423
986,-297010,-4764119
987,3618384,8721235
988,4707290,-1610372
989,8350231,993207
990,-7598827,8552845
991,-6439213,-8728554
992,3754418,-7286867
993,9965255,-2232251
994,-2411519,7373222
995,2574101,8111486
996,2632972,4653902
997,-1796261,3467660
998,-3572146,1240974
999,9152261,6327127
1000,-9014812,7722884
