ID,i,k
214,-73177,964703
215,-279306,-102236
216,430352,-447906
217,-269411,619966
218,355917,-846777
219,-285113,-942592
220,-424886,710074
221,656603,-366051
222,433333,-726055
223,-641209,-149727
224,914106,-91339
225,68360,-467337
226,564906,-433794
227,179153,86509
228,-341888,-207730
229,210484,-752252
230,766341,332475
231,440727,-201300
232,896324,-386591
233,967596,-822723
234,171217,127243
235,284671,111071
236,-185480,-197914
237,287161,-921100
238,515276,-997135
239,-537066,794306
240,854204,58488
241,-72244,38031
242,-851166,-114954
243,-427474,761276
244,362426,189285
245,321067,250576
246,378306,-165323
247,-804545,-314133
248,756646,-372559
249,-689733,720499
250,884152,-631473
251,422989,981726
252,-271985,-63745
253,-756697,-288974
254,303434,225428
255,410582,881014
256,4861,-754143
257,-631630,-268832
258,-719118,498120
259,494427,-916723
260,-119863,674014
261,-829109,829306
262,-862211,-470126
263,744645,-792557
264,-136051,-844050
265,-762298,-766232
266,632825,-628921
267,228174,-633827
268,799149,-875349
269,-888608,-622189
270,895645,-873158
271,253578,-112306
272,456874,880696
273,76527,-259574
274,178313,-43104
275,-663703,-430369
276,-438145,-468910
277,-339371,517517
278,943572,-902210
279,-224911,240811
280,37088,264086
281,479948,422727
282,558225,817670
283,347117,24966
284,823456,688629
285,597570,-950946
286,792835,-197936
287,322439,158131
288,-363983,-852771
289,-655785,-219452
290,645367,489324
291,-886135,-141839
292,276131,902460
293,-695759,104563
294,446672,677257
295,-141544,32287
296,469730,-570665
297,342603,758291
298,558623,-443376
299,-698493,530884
300,606301,-96315
301,16901,784265
302,345881,-626486
303,-648193,836985
304,-576731,78456
305,-163132,769044
306,873797,171848
307,-393794,-317188
308,430752,-395126
309,-197688,-183863
310,-64280,-881429
311,-952159,-631325
312,372120,746624
313,-539009,338006
314,-689486,420074
315,-126831,-301610
316,176644,671410
317,691859,85658
318,917089,86055
319,465605,-52425
320,-167977,-861888
321,418905,-911096
322,605170,602768
323,860655,-416775
324,930753,-505101
325,-1311,572214
326,-668813,541908
327,299824,-192291
328,525963,509905
329,-681947,-783199
330,95889,-447551
331,884923,941875
332,681892,-557714
333,-742368,-16438
334,76491,768274
335,968299,-350785
336,811905,-379587
337,-543880,-12414
338,779973,678331
339,818636,-942322
340,899127,-758451
341,-277660,606824
342,-310408,-29035
343,-906726,-703143
344,-376665,-760895
345,238582,750933
346,-623323,-846497
347,759786,-418037
348,-250646,989041
349,-807000,-130469
350,851995,-147671
351,-867569,726838
352,35784,-70123
353,-83512,-605387
354,-469551,-53952
355,-558846,607861
356,-871096,-818494
357,-252763,26191
358,-178210,-783587
359,-851033,-481501
360,68078,-353781
361,-909199,336248
362,-254477,408227
363,-600276,551697
364,772309,443514
365,232962,-436613
366,-37560,987923
367,-954245,-904076
368,-699867,-533767
369,-119420,532465
370,366040,-760011
371,95718,752184
372,127301,474189
373,984642,-922629
374,222686,459344
375,601029,872231
376,-57217,135671
377,-42489,-335657
378,241407,466615
379,-893444,613357
380,-48080,590695
381,439696,-783046
382,-478788,-643477
383,732285,256255
384,112658,593856
385,-848513,-2215
386,-148995,247517
387,-176135,464807
388,-217558,-39477
389,841444,-981895
390,445575,172948
391,-205467,-803059
392,742646,17726
393,347003,-426561
394,-787165,-794480
395,699819,341107
396,-996975,-194444
397,223546,674638
398,-14012,-644282
399,-709722,290324
400,-859670,865965
401,-235576,-222920
402,548582,-588897
403,-354435,-167611
404,-538477,909269
405,908255,898507
406,-108198,491749
407,259328,143088
408,828523,-555981
409,979286,452102
410,544258,-654547
411,-602438,-588383
412,-346684,342898
413,58277,-407651
414,596525,924839
415,682560,-639961
416,415228,707940
417,644143,811257
418,244044,-902678
419,-161649,-747836
420,580149,378847
421,-700107,-3060
422,193904,694066
423,969161,984338
424,-57501,394100
425,296764,-532030
426,226114,689198
427,473981,743373
428,684605,-674890
429,-572568,-954519
430,246338,-991010
431,455886,-391252
432,219091,-549767
433,-882994,559573
434,537133,709597
435,666250,-773272
436,390454,486195
437,-568960,621596
438,824793,-833473
439,245880,849391
440,5620,103828
441,-633770,596264
442,-342200,-173385
443,-998292,630142
444,-871060,-112429
445,-659499,785121
446,-264026,-211679
447,583317,-162643
448,856063,-919543
449,-629976,-360948
450,-985762,863124
451,165163,-157716
452,913825,-53339
453,181181,-912935
454,-195029,-129378
455,-763098,-807266
456,-834624,-4209
457,968582,-124449
458,-116508,-182875
459,863041,213323
460,958615,-55719
461,920205,953594
462,-441387,-61777
463,-545709,-126820
464,861138,-80329
465,-16683,60149
466,-384035,-368571
467,700862,611964
468,953362,-170282
469,-449844,-30149
470,18257,-829211
471,605583,-573676
472,852267,-602318
473,-354566,-735160
474,274852,737101
475,-532753,-6021
476,719250,-686505
477,787843,-580971
478,-152369,391147
479,620886,-892249
480,299945,-976931
481,910962,55739
482,-780043,38004
483,-871775,954304
484,-908559,987648
485,-101556,-332200
486,991760,109702
487,-569564,-63871
488,319527,-206428
489,-850093,801640
490,571399,947957
491,-267696,1232
492,78054,40972
493,627312,725289
494,-853872,631632
495,294173,678715
496,-157245,126985
497,-346714,18837
498,524509,435738
499,244527,-865298
500,160633,668795
501,-628145,793765
502,-686236,373102
503,955275,-603934
504,129720,292016
505,-662912,240464
506,536178,-415740
507,796125,-918463
508,552520,356654
509,384614,-770281
510,-571700,-715409
511,920923,216760
512,-542542,-792416
513,-985623,-123186
514,-134307,499029
515,690623,270013
516,741755,-675249
517,-835990,-230413
518,354750,-834898
519,-336698,900449
520,455736,-154293
521,269788,422077
522,-426464,-73430
523,-665582,341314
524,-358340,-954376
525,-384097,516772
526,143318,-542569
527,-806701,597880
528,131720,135988
529,-192994,-136182
530,-219630,368785
531,-162363,362416
532,-320477,-403976
533,31492,-982899
534,42005,736850
535,708443,427306
536,-845454,-622998
537,-871245,50061
538,944618,-565654
539,577557,-987006
540,-985407,-620117
541,81841,107482
542,-880461,-948784
543,-949895,203211
544,960430,298388
545,-335049,-68672
546,392286,-252935
547,671121,-61908
548,-154290,379239
549,250132,-213566
550,-721399,597966
551,-772989,-877331
552,-144727,4820
553,-179631,767048
554,170941,-226552
555,-866855,591846
556,-243972,491199
557,-869173,-486169
558,-56561,216856
559,500249,799530
560,-664127,633319
561,750557,-512369
562,-364569,583160
563,893427,57314
564,-723689,77612
565,855094,574451
566,-960414,503271
567,839919,-388275
568,-451128,-446450
569,-851690,861327
570,-875034,875953
571,394776,508999
572,322097,576202
573,51662,-36973
574,4737,-618160
575,-48301,-890456
576,-808338,535348
577,-519056,923841
578,705358,-396509
579,-205113,861766
580,-481471,-602377
581,312150,-384683
582,-8124,-796798
583,-746978,-301242
584,440367,-173286
585,338402,413482
586,-100337,-662646
587,69103,-925447
588,629207,249327
589,327299,-448080
590,97095,749378
591,714869,-96413
592,380552,753322
593,918381,-649184
594,649517,244423
595,-923406,9719
596,142431,-968072
597,-732005,934823
598,95347,-673324
599,936173,412824
600,-783445,773240
601,-152737,-298802
602,594577,-389686
603,-904839,-442415
604,-203371,730268
605,-840806,-521074
606,-584211,651758
607,595870,986437
608,-986504,732394
609,242245,736385
610,957851,83893
611,-981969,-265325
612,195417,-183377
613,-729748,-738575
614,-537037,-173077
615,341647,121790
616,684084,-523177
617,-381973,289616
618,511879,-412256
619,-618364,-218497
620,-241912,478776
621,308767,167968
622,-15305,-534131
623,-50896,-613634
624,-438086,-358936
625,-248282,-105514
626,-869886,-865436
627,-850697,796880
628,-492968,457756
629,939831,758166
630,-41043,268110
631,-714656,-546453
632,791481,-822074
633,-807552,-185955
634,284074,812496
635,520237,-395622
636,903678,-51805
637,446366,-551
638,71981,406817
639,917118,-58967
640,-786518,-909654
641,-212999,-664441
642,304503,531117
643,197320,-529970
644,-250738,-675059
645,-589919,915580
646,698127,825983
647,123152,-190860
648,-721702,-95450
649,715480,901247
650,300161,-207703
651,932009,-933884
652,302005,-322847
653,185297,-318034
654,530652,-565168
655,189395,732268
656,373606,-986749
657,311196,-505462
658,453487,-710345
659,-260789,546040
660,409896,681568
661,-843627,-997410
662,520775,852944
663,-882944,839465
664,1140,-49596
665,181545,-444591
666,-201753,107215
667,-908055,-495771
668,-160837,346397
669,231577,-77179
670,-148985,-479834
671,-442836,-969557
672,-677609,15634
673,-192049,-691499
674,-261387,-377443
675,343005,-455729
676,659171,323605
677,-696425,839288
678,-171423,300472
679,-703832,-768573
680,-467885,164305
681,646412,-315366
682,929962,934443
683,335467,563071
684,728395,161582
685,-593958,826419
686,193038,-90857
687,454797,547342
688,-475487,-197018
689,-261921,-606060
690,-215360,-591185
691,-634184,949307
692,-956137,918089
693,120691,-91370
694,-297658,-32691
695,-357079,138478
696,-153722,-894110
697,-990630,720667
698,-839279,367162
699,631238,13165
700,915213,990896
701,-539374,771880
702,738114,674534
703,-723281,-985863
704,-954279,-304898
705,882360,-156825
706,-253340,-47271
707,-962144,-459014
708,-86009,32067
709,-662292,364673
710,-286065,-839388
711,-638995,-213399
712,321738,400276
713,-448239,210403
714,-783970,-795917
715,-276414,-781500
716,-704785,-881028
717,502871,-449197
718,-826033,-932026
719,-818010,-102971
720,759856,510114
721,402569,453660
722,58630,-678517
723,-771490,276003
724,201594,592293
725,187872,-693293
726,40177,913963
727,908840,817495
728,674423,41958
729,57655,-633241
730,764065,-978023
731,918442,487153
732,-460696,-358308
733,790569,-403486
734,-93352,438960
735,822058,880667
736,-593798,931100
737,-592307,-370037
738,-444018,-766838
739,-271767,-289105
740,-66859,-661670
741,-728737,-826046
742,676301,-421963
743,227408,503499
744,-953359,795998
745,-901366,432504
746,-77907,273394
747,291840,-867148
748,-411813,433708
749,-365025,767908
750,477569,-731864
751,-325155,242150
752,823113,-821393
753,-115519,-881883
754,127890,-29736
755,347466,-727950
756,205093,-147921
757,-290431,-293875
758,518822,-120497
759,269003,-211640
760,-367610,790854
761,-564858,505140
762,-927534,557241
763,685301,-604611
764,-861608,115230
765,-212395,285439
766,-501416,356210
767,-955249,108883
768,-549042,63968
769,-449488,674516
770,-910788,-270803
771,-572804,-845141
772,615617,540922
773,914694,-468722
774,-861167,272825
775,416125,-756653
776,-909103,-307976
777,723983,609533
778,93435,489892
779,759087,737234
780,-473353,-978220
781,11826,603083
782,640326,-866940
783,-188615,502158
784,-81340,35609
785,919367,408870
786,-384162,695575
787,703424,181249
788,74031,678313
789,-84037,394890
790,-456756,801014
791,208931,402348
792,598465,-596127
793,812771,-924758
794,828636,-962448
795,-94391,738155
796,865481,-2847
797,275093,451637
798,-605967,933532
799,721962,77922
800,351930,-504069
801,-619567,-447385
802,188440,672094
803,-566638,364498
804,-648462,-822672
805,728745,-181977
806,844325,-181982
807,-951669,-142376
808,428730,426206
809,321651,-9352
810,-261682,931155
811,-777582,312594
812,847496,-870709
813,576363,212326
814,398688,562697
815,331106,192727
816,717867,491101
817,322903,-191857
818,917420,319626
819,-418997,-609829
820,-423485,285833
821,33434,-348893
822,905215,972360
823,-550440,435279
824,973968,-135675
825,947403,-666744
826,-380526,673770
827,-483049,644633
828,-188922,685914
829,-775305,485217
830,537703,-818323
831,-70577,402191
832,486477,920358
833,-81537,36189
834,662850,960340
835,-229490,-254283
836,657809,512285
837,425577,-667596
838,292745,-394571
839,-449940,568893
840,19977,803684
841,-928414,-463525
842,-313040,69887
843,-365268,696024
844,21944,-229112
845,-196918,731183
846,-198841,-828143
847,124839,-360556
848,-411761,135574
849,-165088,-642144
850,760847,309571
851,757616,828195
852,941702,940710
853,-625245,-810311
854,952420,-591489
855,397673,829381
856,845780,932561
857,52510,-837914
858,-801963,-907035
859,52421,-827830
860,24053,913123
861,-399635,-38440
862,42959,-867149
863,-41438,439256
864,-103876,930559
865,-242280,-345912
866,23233,896256
867,-837926,349659
868,-664664,-950261
869,-202619,-584066
870,-450268,-394405
871,279274,-154374
872,-358772,-799851
873,641379,559364
874,-852619,769449
875,119516,-897623
876,792204,-889194
877,-269274,201104
878,-54239,4551
879,-432402,550542
880,-844053,-891451
881,285967,-98042
882,-773733,92061
883,-893492,20882
884,-103327,-858304
885,400352,-143149
886,347016,601476
887,267525,-588224
888,532406,428450
889,868710,235257
890,-961676,39702
891,987068,-805690
892,-914449,-439896
893,688293,-152347
894,-732312,-991885
895,-935801,-981928
896,68290,496297
897,-319998,-247541
898,856550,-467942
899,-187875,-590564
900,-403903,949841
901,-879366,-958636
902,-846062,-110331
903,912314,-618184
904,-980661,-992751
905,-201029,-501076
906,338218,-619541
907,704776,-636027
908,880002,-562175
909,-109523,354674
910,165113,-736719
911,-265866,-197664
912,488814,-946380
913,-15182,-557987
914,720661,-842232
915,-727279,739596
916,-258252,-547054
917,728940,-302350
918,804682,-584046
919,413543,987280
920,176423,-933360
921,503195,192394
922,346719,-677267
923,533971,-621480
924,756399,916233
925,10372,-890176
926,-630227,-931870
927,-996241,136473
928,469721,160676
929,-327558,78878
930,583128,453282
931,593689,-648814
932,398743,-663349
933,418105,522958
934,-150083,-810442
935,-762534,754207
936,-291566,843786
937,396030,-699022
938,970931,-409549
939,-804954,59401
940,479500,822617
941,65801,63378
942,-902640,795888
943,366759,-188267
944,745443,414916
945,976443,-962773
946,853683,872245
947,569931,-679526
948,-578897,333396
949,850429,-912453
950,562099,410321
951,897668,665725
952,643142,-662933
953,298252,-400011
954,-798639,726438
955,636763,626168
956,407948,675326
957,-1654,465199
958,724812,-917703
959,-207899,879415
960,-557207,-137686
961,-921253,248445
962,-580956,-465622
963,-206461,-969125
964,15403,945254
965,300004,-586519
966,-983276,-657399
967,-358640,-684178
968,-968117,-448841
969,-718563,932314
970,851284,-616662
971,-256837,363255
972,-822325,-721255
973,-110508,-135291
974,-498383,-421348
975,-655345,359506
976,828126,556139
977,-810016,146826
978,472787,-175712
979,887604,210439
980,638164,848560
981,923631,-520951
982,-320879,913868
983,582,808166
984,-173868,-89346
985,-565618,-151267
986,673582,576001
987,-969958,348366
988,768396,580223
989,-766229,-873698
990,874684,337492
991,-875220,-104760
992,614602,-590305
993,-405098,-529129
994,-864809,-999976
995,627322,-107382
996,416973,695264
997,511815,534422
998,-566467,-280354
999,-405391,-710508
1000,772021,606864
