ID,i,x,flag
121,-3000023,7542438,1
122,-3640202,-2574647,1
123,-6174232,-7815834,1
124,-1660740,-2692035,1
125,-8993709,-6605579,1
126,-6868767,-4983330,1
127,-1002174,15583,1
128,-4420270,-1816650,1
129,-3519607,8816776,1
130,-7655933,3581188,1
131,-1090835,1803288,1
132,-5075658,-1119548,1
133,-1057299,-9121342,1
134,-3693812,-6998503,1
135,-7993721,-9994039,1
136,-9179819,-1188883,1
137,-9463015,216631,1
138,-660855,3973936,1
139,-8897650,7710984,1
140,-2143731,-8422352,1
141,-9107729,1939824,1
142,-8626353,878114,1
143,-1432244,-3942279,1
144,-8472236,-9979385,1
145,-4011803,4052274,1
146,-5098417,9610956,1
147,-2828595,-8496138,1
148,-9371705,-6426717,1
149,-469815,-7848392,1
150,-4258685,-6086942,1
151,-8719964,-3323888,1
152,-2643341,1996065,1
153,-5475851,5371582,1
154,-5333555,5948070,1
155,-6468118,-6979164,1
156,-1772100,1541252,1
157,-3990543,-1428749,1
158,-2691556,1976641,1
159,-5396647,-8449425,1
160,-1359882,-200161,1
161,-5232856,-8927418,1
162,-2539390,-633694,1
163,-3358407,6777958,1
164,-7821041,-7879042,1
165,-3354106,6974355,1
166,-9910574,5635703,1
167,-2186279,-6233618,1
168,-1296309,8800550,1
169,-3633440,5241495,1
170,-9266900,7864522,1
171,-5057006,-3543991,1
172,-6781752,-3831265,1
173,-7915286,1171978,1
174,-5572522,-8262836,1
175,-2484252,2353997,1
176,-7451543,8071007,1
177,-7313512,748145,1
178,-3230613,-9323824,1
179,-3657035,8498086,1
180,-8809531,-5135425,1
181,-4208388,-3677097,1
182,-4056178,-5050809,1
183,-2669752,6227729,1
184,-5635240,-6620725,1
185,-8644691,-5410471,1
186,-8629300,-8324521,1
187,-9019643,2354944,1
188,-8428547,1191109,1
189,-7060110,-806337,1
190,-2420325,7936920,1
191,-40842,-9651736,1
192,-2799253,8167797,1
193,-4637595,-6777941,1
194,-3638502,211782,1
195,-390762,-8231729,1
196,-407102,-5588908,1
197,-3850129,-6929810,1
198,-294287,6211331,1
199,-3493744,9121729,1
200,-5604570,5288726,1
201,-3526356,4693133,1
202,-7867212,-7128435,1
203,-8355705,6669908,1
204,-6941823,4458150,1
205,-6007358,-3757867,1
206,-7181419,3632050,1
207,-5776817,2857603,1
208,-4080004,1644188,1
209,-7779479,-3388581,1
210,-1475328,8237478,1
211,-5767949,4958959,1
212,-1811235,7866192,1
213,-9511147,4722803,1
214,-7070934,3943395,1
215,-546247,-6480025,1
216,-2537039,-1831733,1
217,-3933326,1948076,1
218,-1775753,-6875521,1
219,-2190635,-8010036,1
220,-3800910,4806216,1
221,-9636679,-4693445,1
222,-3149912,-3830030,1
223,-5422248,6623369,1
224,-3872754,8423479,1
225,-7982756,3515854,1
226,-6110586,9810915,1
227,-2102422,4288278,1
228,-9267441,5936337,1
229,-1756724,5775612,1
230,-981546,6155015,1
231,-2108013,-603031,1
232,-3228689,7563430,1
233,-6163499,-5364941,1
234,-8119250,7811144,1
235,-5679237,7413029,1
236,-8431936,560061,1
237,-8039173,-6181513,1
238,-3914808,-5755350,1
239,-7980568,1615122,1
240,-2435956,2251955,1
241,-894154,4665468,1
242,-324695,2046004,1
243,-4044996,8263347,1
244,-7761868,-3417597,1
245,-9989242,9550155,1
246,-3082957,4877817,1
247,-2377006,2213186,1
248,-1072691,3303253,1
249,-65078,-6735407,1
250,-3060872,852240,1
251,-4877670,6693024,1
252,-6446561,-177149,1
253,-7152170,-6705384,1
254,-9068558,-5471035,1
255,-5756718,-6952708,1
256,-312722,7697190,1
257,-8831368,-8778460,1
258,-2073597,7319633,1
259,-8148203,385769,1
260,-171088,3976569,1
261,-700754,2551009,1
262,-6847955,-729785,1
263,-7802249,6149682,1
264,-4691357,-2497097,1
265,-185904,2033911,1
266,-3014433,705764,1
267,-6311538,8121125,1
268,-1759541,6346983,1
269,-6999886,3776083,1
270,-5277711,2530594,1
271,-3783086,-7881884,1
272,-18039,3379699,1
273,-2821538,1124957,1
274,-1579067,4005604,1
275,-6027327,-1979943,1
276,-1389349,-7994108,1
277,-4913329,5293076,1
278,-2448330,4346449,1
279,-8798258,5879587,1
280,-2804674,865559,1
281,-5265055,-318934,1
282,-9155410,-3725788,1
283,-4633441,-5294512,1
284,-4050975,-1226015,1
285,-1176133,-6904105,1
286,-4048289,5968709,1
287,-7933098,6411336,1
288,-3750154,9730494,1
289,-5072350,-3607398,1
290,-4375378,-3192245,1
291,-2790317,5386019,1
292,-4722104,-648277,1
293,-1316238,-6107065,1
294,-6174169,-1396128,1
295,-1247091,9142115,1
296,-9174853,7708762,1
297,-1460431,9601,1
298,-5668155,3063904,1
299,-4446950,2030572,1
300,-5050381,8776659,1
301,-4653070,-7918845,1
302,-1435234,-6348147,1
303,-1471941,-109965,1
304,-205067,9279321,1
305,-4251803,7918951,1
306,-8254403,7271391,1
307,-223326,396027,1
308,-5926171,-3673359,1
309,-650169,-9104757,1
310,-4726343,7549769,1
311,-913692,8467059,1
312,-7585612,-8091621,1
313,-8041877,-5715600,1
314,-6902864,7554704,1
315,-9864505,-3678947,1
316,-1363890,1859977,1
317,-6382515,7711815,1
318,-7754185,6892100,1
319,-8329553,4190689,1
320,-2405763,9577261,1
321,-4478182,4153433,1
322,-4257417,-690639,1
323,-7929969,2925728,1
324,-3193304,-2208692,1
325,-483205,-9026211,1
326,-8247666,5565049,1
327,-1901596,-5941417,1
328,-4359863,6479836,1
329,-4770708,8388740,1
330,-3512725,2085683,1
331,-5884400,-6994804,1
332,-9934330,-6701189,1
333,-4516633,7270484,1
334,-3216191,-849402,1
335,-6632283,-6568188,1
336,-6784884,-3771547,1
337,-8904998,212434,1
338,-1128211,2910289,1
339,-6620476,-1459209,1
340,-1501526,-5657895,1
341,-260481,-4860351,1
342,-5435672,7209935,1
343,-8463915,7915597,1
344,-4766420,8739016,1
345,-8823114,-763820,1
346,-9377285,-9514288,1
347,-9081752,7361926,1
348,-5788115,-2359816,1
349,-3838067,7170164,1
350,-3945196,9895987,1
351,-3690104,-9852194,1
352,-3622168,-9176213,1
353,-5956506,2946925,1
354,-5876325,6598650,1
355,-4500265,-4335048,1
356,-4752937,8817004,1
357,-1111781,-3996111,1
358,-706239,5107135,1
359,-2973385,-1421388,1
360,-312860,5860527,1
361,-4484660,-251838,1
362,-5679249,-9378580,1
363,-6502349,-9979197,1
364,-115290,6617559,1
365,-5344655,2558842,1
366,-8256407,4033840,1
367,-1932030,1703736,1
368,-125531,-1946802,1
369,-3761997,-5166471,1
370,-4495929,7671128,1
371,-477678,-2549446,1
372,-2143891,-5352648,1
373,-1988692,4300372,1
374,-4574526,7037227,1
375,-5142571,-2574591,1
376,-6596780,797946,1
377,-8083091,-5291014,1
378,-7451048,9041592,1
379,-3491913,4173368,1
380,-2001264,-1562705,1
381,-5514184,-7338376,1
382,-4477234,5867827,1
383,-4918737,-7802924,1
384,-2470456,-6175086,1
385,-9709411,3913827,1
386,-6904886,2186749,1
387,-8588398,-6113327,1
388,-4961229,-5736941,1
389,-7082701,4513984,1
390,-475051,9109117,1
391,-4925257,-7046154,1
392,-4863864,2854525,1
393,-1740512,-9197003,1
394,-7135720,3533876,1
395,-8224716,-1129346,1
396,-1996378,-7726063,1
397,-995479,7900098,1
398,-6182380,2116777,1
399,-7863346,-1638791,1
400,-5291967,-2024715,1
401,-226620,24719,1
402,-5370979,-5407728,1
403,-4872410,-1228267,1
404,-6103240,435519,1
405,-5660840,-7671882,1
406,-8988998,-345050,1
407,-1564471,-4063980,1
408,-1567203,2460613,1
409,-8142785,-3711794,1
410,-2116198,813492,1
411,-3995130,616809,1
412,-1407539,6315949,1
413,-6852785,-1130620,1
414,-5445129,-8093987,1
415,-632067,6529836,1
416,-3735958,6826144,1
417,-4574580,-6461730,1
418,-7437662,2872269,1
419,-6539219,-6714125,1
420,-6555000,1812850,1
421,-6736661,-4607258,1
422,-7141912,-6905414,1
423,-9078078,-6492760,1
424,-109050,5275536,1
425,-614383,-7116266,1
426,-3178063,-742935,1
427,-8258336,-7916653,1
428,-5307818,9184664,1
429,-4604954,-7605788,1
430,-9879288,3521631,1
431,-1644466,-4306603,1
432,-4778879,-9374012,1
433,-5555719,-8086616,1
434,-4332722,5134716,1
435,-4099481,1805049,1
436,-1503779,-4457971,1
437,-7844937,-7068189,1
438,-2787513,2787792,1
439,-8671828,5916768,1
440,-1221252,3226110,1
441,-4309736,-3641566,1
442,-2739014,4140892,1
443,-4900660,9825478,1
444,-4525113,-4841163,1
445,-8421570,-4718834,1
446,-1345446,4273497,1
447,-5546945,-9804498,1
448,-3981436,6942956,1
449,-2315358,-6431025,1
450,-926608,-1731025,1
451,-125511,8947841,1
452,-8311750,-2072245,1
453,-3607968,5167150,1
454,-5721974,4496856,1
455,-1288478,595017,1
456,-3961938,-710234,1
457,-2446576,8261737,1
458,-5983337,1881344,1
459,-1410050,-5407264,1
460,-5867744,-6463990,1
461,-9087112,-7986676,1
462,-1333013,-8234391,1
463,-7707261,-4532215,1
464,-7033842,1825282,1
465,-7924242,7394597,1
466,-8060124,1257875,1
467,-4296142,6374607,1
468,-9510346,6308576,1
469,-3566959,-1356157,1
470,-2382608,5815060,1
471,-731777,1382000,1
472,-8237696,-6862314,1
473,-4984240,-2585447,1
474,-2070386,12502,1
475,-494447,5483054,1
476,-6691536,1197517,1
477,-2627012,-7984886,1
478,-5626023,4149340,1
479,-355256,8864684,1
480,-6576091,-3797574,1
481,-5007469,-7748621,1
482,-8214558,-6102811,1
483,-4256189,-5409342,1
484,-8256209,-726329,1
485,-106125,5304169,1
486,-2459119,1987146,1
487,-421841,-8101219,1
488,-4045426,-1530682,1
489,-8794162,-2485398,1
490,-9917858,-5623519,1
491,-9008404,6314725,1
492,-2022320,2043870,1
493,-603461,-5419353,1
494,-1809652,7175345,1
495,-8635106,-5254802,1
496,-5989383,-2626670,1
497,-2938892,-5615210,1
498,-5274373,7099233,1
499,-4096409,344031,1
500,-8264579,-6065679,1
501,-6731960,9450413,0
502,-8989289,-7932572,0
503,-2398924,-6929712,0
504,-6819363,-7706190,0
505,-9986629,-7860138,0
506,-2546458,-3691770,0
507,-19942,-191884,0
508,-620247,7875328,0
509,-6964119,-9900036,0
510,-8215311,3726512,0
511,-8353693,4782281,0
512,-3381449,20792,0
513,-3773900,-6718,0
514,-6072744,3631693,0
515,-3198714,6055936,0
516,-9060231,565359,0
517,-4794805,7637346,0
518,-5321770,-6762527,0
519,-9705691,-8467143,0
520,-5132522,6697219,0
521,-2969696,2648270,0
522,-6937150,8211418,0
523,-4186403,-7012488,0
524,-6658887,3204225,0
525,-2670147,-166627,0
526,-5836641,-9669329,0
527,-5467485,-5760580,0
528,-9577916,8526055,0
529,-7591674,9210803,0
530,-2973254,-5033179,0
531,-8537948,4688363,0
532,-3148388,-6074819,0
533,-2847471,7589710,0
534,-8376439,-1760757,0
535,-9844201,-7973085,0
536,-1223418,-9646640,0
537,-6573530,-3697528,0
538,-7081261,8347374,0
539,-7641859,389092,0
540,-226515,5153491,0
541,-337900,-8969720,0
542,-2638996,-9537740,0
543,-4364603,7389048,0
544,-969954,636210,0
545,-138003,-5526931,0
546,-895948,-4384549,0
547,-5775223,3402280,0
548,-4380275,9216036,0
549,-7238278,-6085948,0
550,-6268869,-4517072,0
551,-8848006,-2522724,0
552,-1684701,7068214,0
553,-5041612,-2328994,0
554,-2704054,8286224,0
555,-8549981,2222589,0
556,-5724892,-1117103,0
557,-1535553,-9393965,0
558,-1278349,-7156220,0
559,-4629202,-9401784,0
560,-6265268,-7330602,0
561,-8865699,8414036,0
562,-4422707,-8474103,0
563,-5836801,-132004,0
564,-3866669,651410,0
565,-6344828,-6167256,0
566,-9586874,-3712714,0
567,-9918065,92857,0
568,-7252690,-5515674,0
569,-2247723,5010443,0
570,-1318074,1067277,0
571,-5028066,3651877,0
572,-3114628,1030271,0
573,-1431547,-6251878,0
574,-9429153,4022027,0
575,-7549772,-2060840,0
576,-3294120,-5623548,0
577,-9372799,6709853,0
578,-8961905,-3733308,0
579,-6986414,4087157,0
580,-9201327,1371262,0
581,-8370471,1218587,0
582,-405719,7048148,0
583,-3362358,-9244865,0
584,-9495228,-583044,0
585,-1485283,-7375356,0
586,-4850357,-5830345,0
587,-5044075,2572856,0
588,-3791343,-2707648,0
589,-6750415,-5769733,0
590,-6698647,-1199450,0
591,-9888730,3989238,0
592,-2567929,-5221517,0
593,-9390929,-1420782,0
594,-9130315,-86667,0
595,-3923521,-365336,0
596,-1090570,-3158607,0
597,-3000812,2160945,0
598,-9714424,-9113617,0
599,-2985179,-6474332,0
600,-172660,-624109,0
601,-9010365,-1094326,0
602,-1239621,-1042899,0
603,-1228888,6082363,0
604,-294498,-7935934,0
605,-7098047,7794406,0
606,-4209197,-7354866,0
607,-9529274,-1225551,0
608,-5848033,-2865656,0
609,-6355151,-7555013,0
610,-6677421,-9555047,0
611,-5391405,-2969724,0
612,-7686937,454354,0
613,-9230460,-9216428,0
614,-1572327,-5996439,0
615,-318076,5737554,0
616,-275181,7648886,0
617,-115401,7344218,0
618,-2946847,-4683415,0
619,-3133875,-9568982,0
620,-6261808,-2833875,0
621,-1304507,8488777,0
622,-3898868,-2890969,0
623,-6349033,-8596392,0
624,-6524526,8897705,0
625,-790523,6875428,0
626,-9195464,-4623484,0
627,-7378881,-6773547,0
628,-9591142,-5671935,0
629,-9215774,-4890244,0
630,-7438796,5689953,0
631,-8468052,9843139,0
632,-4350462,7729072,0
633,-3871133,1894864,0
634,-2047913,-7086137,0
635,-3077589,6233571,0
636,-2606570,-1940168,0
637,-2926817,-4711381,0
638,-1314551,7826327,0
639,-2662072,159960,0
640,-5870264,-6736725,0
641,-9823898,1285817,0
642,-1094968,-7130645,0
643,-2081428,1808418,0
644,-694937,-195857,0
645,-2458809,3416830,0
646,-6838504,-7925504,0
647,-9341041,6979350,0
648,-1843239,8079343,0
649,-3290030,-7316691,0
650,-1948952,-7336216,0
651,-2920736,-955466,0
652,-9830500,5300764,0
653,-9689037,5029788,0
654,-9654262,6771236,0
655,-3731414,-3673510,0
656,-5470282,1817182,0
657,-6124113,1446347,0
658,-4948660,-4712876,0
659,-4717552,-364701,0
660,-2889479,5586824,0
661,-6795402,-287043,0
662,-6805291,-3527193,0
663,-9779050,3957049,0
664,-3980235,-1722064,0
665,-9404277,2497585,0
666,-2338256,2808038,0
667,-5337879,-9111998,0
668,-2966489,7132332,0
669,-2738044,-2261795,0
670,-3956614,5479541,0
671,-3031013,6478521,0
672,-5912833,-4887265,0
673,-8407399,6388215,0
674,-8707598,-372197,0
675,-8930602,-9814055,0
676,-3839003,9624163,0
677,-9034007,2203460,0
678,-600086,1536105,0
679,-7061239,-4177319,0
680,-8721431,5855554,0
681,-5242223,8346722,0
682,-7870037,425445,0
683,-9009436,-9144101,0
684,-846600,-5497182,0
685,-7790941,-9045943,0
686,-5363974,-4080967,0
687,-2685150,6910517,0
688,-2104279,-1662821,0
689,-2017424,6661850,0
690,-8119798,-8542452,0
691,-4889798,-7549080,0
692,-1519794,7772385,0
693,-2882034,7479914,0
694,-2908003,-4769577,0
695,-8884407,-7477246,0
696,-5559113,-1549102,0
697,-9674667,-885116,0
698,-348113,-4588067,0
699,-5133516,-4520285,0
700,-9840658,-4278522,0
701,-5357762,-4509541,0
702,-1133521,-1637525,0
703,-2774406,-2061368,0
704,-6147845,6422877,0
705,-3440076,-8829687,0
706,-2019314,-7603903,0
707,-6133397,914968,0
708,-7556862,-116735,0
709,-7040745,782217,0
710,-6449721,6679288,0
711,-3903086,-6527832,0
712,-1401463,1403820,0
713,-8310442,-3410633,0
714,-2785579,6287758,0
715,-4130756,-6229195,0
716,-3791213,7442305,0
717,-1109075,9856965,0
718,-15467,-9265012,0
719,-4780862,8703724,0
720,-5390664,-1411279,0
721,-7159713,-2430421,0
722,-7245751,4400406,0
723,-620077,8222305,0
724,-1824507,5411639,0
725,-5604075,8866330,0
726,-2194,4558058,0
727,-5986486,-9734526,0
728,-2514837,5515365,0
729,-976676,-9182951,0
730,-6532600,-7505351,0
731,-4060515,3794607,0
732,-5861170,-3079478,0
733,-9543226,-5869170,0
734,-7187594,4979480,0
735,-6025638,2404172,0
736,-2052692,-3888894,0
737,-5091645,-8845451,0
738,-3687896,9102717,0
739,-5826079,1811390,0
740,-4504770,-849721,0
741,-7286529,-5763271,0
742,-9370758,-8228027,0
743,-4151703,1359829,0
744,-9245451,-6525088,0
745,-8969348,-8261623,0
746,-1387913,5272057,0
747,-6946102,7234948,0
748,-9388477,6158732,0
749,-3399806,-8649611,0
750,-4824128,-2688572,0
751,-3601251,310147,0
752,-8157204,9272182,0
753,-9488045,-3362584,0
754,-5400128,-8265161,0
755,-6635655,5514068,0
756,-6037708,-5320985,0
757,-4856769,-9570894,0
758,-3183651,367805,0
759,-8583070,-4831561,0
760,-8477950,9821489,0
761,-4403292,6053976,0
762,-4270184,-6563052,0
763,-9946964,-3065678,0
764,-4631405,-4881487,0
765,-6705621,-7227198,0
766,-1506989,-7027934,0
767,-8296733,-5081352,0
768,-9120187,-9894575,0
769,-5969315,6579718,0
770,-372262,-7503475,0
771,-8275560,-8172328,0
772,-6855615,8678218,0
773,-3630146,9595538,0
774,-2213256,7049086,0
775,-7987410,-9431533,0
776,-4077254,194774,0
777,-2832581,760096,0
778,-1162222,8235810,0
779,-8939173,7421894,0
780,-2577708,1069610,0
781,-3470136,-2219788,0
782,-7035444,8001951,0
783,-1512888,-3204033,0
784,-4445162,4081821,0
785,-6587345,7271837,0
786,-8318869,925020,0
787,-7984798,27586,0
788,-5783704,-2045093,0
789,-9650885,-8271223,0
790,-1681904,5970632,0
791,-1464890,-8937467,0
792,-9602652,-3268720,0
793,-6944451,-9191452,0
794,-3965976,6739467,0
795,-6893787,-4882278,0
796,-1977943,-9518923,0
797,-7770120,824589,0
798,-665609,7454020,0
799,-8646347,-3325181,0
800,-1872025,-7759941,0
801,1692986,-311656,0
802,-132329,2079669,0
803,-6025067,9045421,0
804,2773023,9893872,0
805,-1210334,3238059,0
806,-4004081,2084351,0
807,-200112,1503126,0
808,460958,-7224176,0
809,-3136620,2003938,0
810,8659220,2030735,0
811,-1847270,-6162070,0
812,-5362547,-5285131,0
813,3229218,-3539500,0
814,1651409,-8390766,0
815,-1509899,8619475,0
816,-570902,-2703906,0
817,-7507229,860274,0
818,4976932,9031825,0
819,-7124281,-9427769,0
820,5244243,1258025,0
821,3618736,9435038,0
822,-5137380,-7209562,0
823,-5700078,-2200179,0
824,7642032,-8675201,0
825,1373124,-7723891,0
826,-8384568,-102901,0
827,8076348,3507261,0
828,-8509094,6397122,0
829,6737031,4586676,0
830,6009296,-4271942,0
831,-6834569,1417209,0
832,8978968,8992025,0
833,-2007433,-6241214,0
834,-4735267,-8719618,0
835,4520143,969533,0
836,699739,4798164,0
837,-9622445,-8857226,0
838,-8384493,-1994438,0
839,-1137563,-2631706,0
840,-3268993,1072833,0
841,962501,-3169083,0
842,-9953439,-5419971,0
843,-9781260,-7801961,0
844,512415,-6075772,0
845,2194243,3980939,0
846,-6877354,-5428120,0
847,-3428253,-4776931,0
848,-4038622,5867157,0
849,3197786,3806419,0
850,-6065118,-4362475,0
851,-2222846,9670620,0
852,-7839530,813675,0
853,-8309172,-8061682,0
854,-4543541,8222968,0
855,2983604,1732371,0
856,3333357,7327440,0
857,4909707,-5983316,0
858,4495860,-9572928,0
859,-2074756,-7658446,0
860,-9110875,5868718,0
861,-2034711,9968052,0
862,6637922,-5326973,0
863,-1035410,459812,0
864,-9616394,-5546599,0
865,-3022928,491272,0
866,597981,-1914622,0
867,-1466502,-6099653,0
868,3739912,8044577,0
869,8696283,3930042,0
870,-569493,-5184542,0
871,7194226,-9868215,0
872,-3167175,-2522353,0
873,-5430857,-1794039,0
874,-339798,7972261,0
875,2021036,3322406,0
876,3597037,-4044666,0
877,-624213,-854276,0
878,-1188184,4191007,0
879,9448682,558630,0
880,210204,6560749,0
881,3042453,4190008,0
882,-9344574,8620545,0
883,-4931204,9368604,0
884,8591459,-4430231,0
885,-3266920,-665951,0
886,-951843,9223515,0
887,8474874,1527371,0
888,-5258901,-3476244,0
889,-4660934,7380192,0
890,-9268087,-1531467,0
891,-8992000,-7218719,0
892,849142,-508600,0
893,6661219,8780079,0
894,-8304813,-7282799,0
895,-5718260,3836513,0
896,9867220,-3596506,0
897,8804511,-4601074,0
898,-3020485,6072104,0
899,-7256492,-9683385,0
900,1467510,962322,0
901,5941449,2489159,0
902,-66678,-6376157,0
903,4189719,-3456874,0
904,7616347,-9981980,0
905,5450534,-1545027,0
906,7965891,-4881165,0
907,4291471,-6135703,0
908,8562836,-210856,0
909,4634049,730109,0
910,-7074638,-9731421,0
911,-8959382,-7601380,0
912,-6942429,-3664810,0
913,-3554608,-8879286,0
914,-9458627,-3762249,0
915,8958519,2488448,0
916,1047537,-9165959,0
917,94568,2198791,0
918,-1411975,1294566,0
919,4411912,-8713207,0
920,3963518,-8037010,0
921,7721812,5791368,0
922,-3004000,-1759556,0
923,-7868542,-2113560,0
924,-4055811,8039159,0
925,4517816,-4470247,0
926,2908668,-5353019,0
927,-643126,2030542,0
928,-9219735,-35472,0
929,7504650,-9444663,0
930,7666926,-8819190,0
931,-7823608,1371511,0
932,-4030093,-2465850,0
933,7318462,-9263306,0
934,9591292,1934271,0
935,5614936,-6187789,0
936,8570845,-8832631,0
937,2042149,5004125,0
938,1653796,-3377310,0
939,-6790142,-9906860,0
940,-6593541,3887960,0
941,8511761,5185942,0
942,-4228856,2328163,0
943,-8287964,4811144,0
944,3878262,3013793,0
945,5624007,-2144676,0
946,5061516,4842765,0
947,2978938,1997456,0
948,3111586,9511120,0
949,6308188,1936250,0
950,2733863,-1298606,0
951,-4305383,-2095485,0
952,5560234,2001521,0
953,6753241,-5510016,0
954,-3732627,-7089394,0
955,-5627243,-3036190,0
956,-1038715,4869261,0
957,-4564974,-7124945,0
958,-54833,8980143,0
959,-7733312,1663986,0
960,1295274,-3895496,0
961,3793579,9058526,0
962,351726,-3620349,0
963,-6369741,3366069,0
964,-1723117,5949047,0
965,-5845978,1451672,0
966,-2199440,8254674,0
967,5314789,-4773089,0
968,-7570830,4749808,0
969,-4836603,-2398232,0
970,-4178599,9668732,0
971,3005092,4097208,0
972,1220629,5606624,0
973,-5425926,5842979,0
974,3629809,8155500,0
975,-9917975,-1532490,0
976,3696455,1546719,0
977,-9128645,3710385,0
978,-4458102,-3012921,0
979,8438764,1468226,0
980,5498655,-4861589,0
981,-6197882,-5443224,0
982,-2892881,5434516,0
983,-9870058,-7685089,0
984,9962654,594046,0
985,-7298155,673720,0
986,2295065,3230723,0
987,547014,3694093,0
988,5046153,4546809,0
989,3621472,6970,0
990,-5631631,8314102,0
991,7309173,1353831,0
992,-4532081,5118120,0
993,-801235,-6650305,0
994,-8139586,1397294,0
995,-7859957,-918635,0
996,943708,-5130001,0
997,-2945058,-8943723,0
998,-6997881,-4377355,0
999,-2598042,-3741387,0
1000,7281834,6956911,0
